Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Def Interceptions,Fumbles,,Tackles,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
2017,22,KAN,NFL,QB,1,1,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
2018,23,KAN,NFL,QB,16,16,0,0,0,0,0,0,9,5,-4,0,0.0,0,0,0,0,0,0,"PB,AP-1,AP MVP-1,AP OPoY-1"
2019,24,KAN,NFL,QB,14,14,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,"PB,AP OPoY-4"
2020,25,KAN,NFL,QB,15,15,0,0,0,0,0,0,5,2,-10,0,0.0,0,0,0,0,0,0,"PB,AP-2,AP MVP-3,AP OPoY-2"
2021,26,KAN,NFL,QB,17,17,0,0,0,0,0,0,9,2,-17,0,0.0,1,1,0,0,0,0,PB
2022,27,KAN,NFL,QB,17,17,0,0,0,0,0,0,5,4,-3,0,0.0,2,1,1,0,0,0,"PB,AP-1,AP MVP-1,AP OPoY-2"
2023,28,KAN,NFL,QB,16,16,0,0,0,0,0,0,5,4,0,0,0.0,0,0,0,0,0,0,"PB,AP MVP-7"
2024,29,KAN,NFL,QB,16,16,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,"AP MVP-6,AP OPoY-17"
8 Yrs,,112,112,0,0,0,0,0,0,38,20,-34,0,0.0,3,2,1,0,0,0,,,,
17 Game Avg,,17,17,0,0,0,0,0,0,6,3,-5,0,0.0,0,0,0,0,0,0,,,,
