Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35,Column_36,Column_37,Column_38,Column_39,Column_40,Column_41,Column_42
,Air Yards,Accuracy,Pressure,RPO,PlayAction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt,PassYds,Awards
2018,23,KAN,NFL,QB,16,16,383,580,5260,9.1,2489,6.5,4.3,2608,6.8,0,24,1,28,5.0,95,17.1,,,2.4,127,121,67,214,33.8,27,7.9,,,,,,,,,"PB,AP-1,AP MVP-1,AP OPoY-1"
2019,24,KAN,NFL,QB,14,14,319,484,4273,8.8,2076,6.5,4.3,1955,6.1,6,19,0,25,5.4,85,18.3,359,77.2,2.5,108,54,34,105,20.0,23,9.3,71,497,64,469,6,28,115,908,"PB,AP OPoY-4"
2020,25,KAN,NFL,QB,15,15,390,588,4910,8.4,2473,6.3,4.2,2267,5.8,8,20,1,28,4.9,100,17.6,436,76.9,2.6,141,62,59,143,22.0,40,7.3,100,770,94,756,4,14,144,1068,"PB,AP-2,AP MVP-3,AP OPoY-2"
2021,26,KAN,NFL,QB,17,17,436,658,4829,7.3,2140,4.9,3.3,2699,6.2,7,32,0,31,5.0,118,18.8,485,77.5,2.4,112,76,58,162,22.1,46,8.7,97,652,91,638,5,14,148,1099,PB
2022,27,KAN,NFL,QB,17,17,435,648,4686,7.2,2397,5.5,3.7,2853,6.6,8,33,0,33,5.4,95,15.4,474,77.1,2.6,160,58,56,140,19.4,46,7.5,91,713,86,692,4,21,143,1394,"PB,AP-1,AP MVP-1,AP OPoY-2"
2023,28,KAN,NFL,QB,16,16,401,597,3876,6.5,1631,4.1,2.7,2552,6.4,6,29,2,39,6.9,75,13.3,457,80.7,2.5,133,60,65,152,22.6,50,8.1,56,337,51,325,3,12,79,794,"PB,AP MVP-7"
2024,29,KAN,NFL,QB,16,16,392,581,3601,6.2,1628,4.2,2.8,2300,5.9,10,26,2,26,4.7,87,15.7,425,76.9,2.3,140,46,70,152,23.3,36,9.1,98,716,97,712,1,4,101,818,"AP MVP-6,AP OPoY-17"
7 Yrs,,111,111,2756,4136,31435,7.6,14834,5.4,3.6,17234,6.3,45,183,6,210,5.3,655,16.6,2636,66.8,2.5,921,477,409,1068,23.3,268,8.2,513,3685,483,3592,23,93,730,6081,,,,
17 Game Avg,,17,17,422,633,4814,7.6,2272,5.4,3.6,2639,6.3,7,28,1,32,5.3,100,16.6,,,2.5,141,73,63,164,23.3,41,8.2,,,,,,,,,,,,
