Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34
,Rushing,Receiving,Scrimmage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
2017,22,KAN,NFL,QB,1,1,7,10,0,0,14.3,5,1.4,10.0,7.0,0,0,0,,0,0,,,0.0,0.0,,,7,1.4,10,0,0,
2018,23,KAN,NFL,QB,16,16,60,272,2,17,53.3,28,4.5,17.0,3.8,0,0,0,,0,0,,,0.0,0.0,,,60,4.5,272,2,9,"PB,AP-1,AP MVP-1,AP OPoY-1"
2019,24,KAN,NFL,QB,14,14,43,218,2,15,41.9,25,5.1,15.6,3.1,0,0,0,,0,0,,,0.0,0.0,,,43,5.1,218,2,3,"PB,AP OPoY-4"
2020,25,KAN,NFL,QB,15,15,62,308,2,22,53.2,24,5.0,20.5,4.1,2,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,62,5.0,308,2,5,"PB,AP-2,AP MVP-3,AP OPoY-2"
2021,26,KAN,NFL,QB,17,17,66,381,2,25,50.0,32,5.8,22.4,3.9,0,0,0,,0,0,,,0.0,0.0,,,66,5.8,381,2,9,PB
2022,27,KAN,NFL,QB,17,17,61,358,4,25,59.0,20,5.9,21.1,3.6,1,1,6,6.0,0,0,100.0,6,0.1,0.4,100.0,6.0,62,5.9,364,4,5,"PB,AP-1,AP MVP-1,AP OPoY-2"
2023,28,KAN,NFL,QB,16,16,75,389,0,27,50.7,25,5.2,24.3,4.7,0,0,0,,0,0,,,0.0,0.0,,,75,5.2,389,0,5,"PB,AP MVP-7"
2024,29,KAN,NFL,QB,16,16,58,307,2,22,50.0,33,5.3,19.2,3.6,1,1,2,2.0,0,0,0.0,2,0.1,0.1,100.0,2.0,59,5.2,309,2,2,"AP MVP-6,AP OPoY-17"
8 Yrs,,112,112,432,2243,14,153,50.9,33,5.2,20.0,3.9,4,2,8,4.0,0,0,25.0,6,0.0,0.1,50.0,2.0,434,5.2,2251,14,38,,,,
17 Game Avg,,17,17,66,340,2,23,50.9,33,5.2,20.0,3.9,1,0,1,4.0,0,0,25.0,6,0.0,0.1,50.0,2.0,66,0.8,342,2,6,,,,
