Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Touchdowns,,PAT,FG,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,RshTD,RecTD,PRTD,KRTD,FRTD,IntTD,OthTD,AllTD,2PM,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Awards
2018,23,KAN,NFL,QB,16,16,2,0,0,0,0,0,0,2,1,,0,0,0,0,0,14,0.9,"PB,AP-1,AP MVP-1,AP OPoY-1"
2019,24,KAN,NFL,QB,14,14,2,0,0,0,0,0,0,2,0,,0,0,0,0,0,12,0.9,"PB,AP OPoY-4"
2020,25,KAN,NFL,QB,15,15,2,0,0,0,0,0,0,2,0,,0,0,0,0,0,12,0.8,"PB,AP-2,AP MVP-3,AP OPoY-2"
2021,26,KAN,NFL,QB,17,17,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,14,0.8,PB
2022,27,KAN,NFL,QB,17,17,4,0,0,0,0,0,0,4,1,0,0,0,0,0,0,26,1.5,"PB,AP-1,AP MVP-1,AP OPoY-2"
,,,,,,,,,,,,,,,,,,,,,,,,
2024,29,KAN,NFL,QB,16,16,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,0.8,"AP MVP-6,AP OPoY-17"
8 Yrs,,112,112,14,0,0,0,0,0,0,14,3,0,0,0,0,0,0,90,0.8,,,,
17 Game Avg,,17,17,2,0,0,0,0,0,0,2,0,,0,0,0,0,0,14,0.8,,,,
