Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13
,Games,Off.,Def.,ST,,,,,,,,
Year,Age,Tm,Pos,No.,G,GS,Num,Pct,Num,Pct,Num,Pct
2017,22,KAN,QB,15,1,1,62,94%,0,0%,0,0%
2018*+,23,KAN,QB,15,16,16,1032,99%,0,0%,0,0%
2019*,24,KAN,QB,15,14,14,880,94%,0,0%,0,0%
2020*,25,KAN,QB,15,15,15,1027,98%,0,0%,0,0%
2021*,26,KAN,QB,15,17,17,1164,97%,0,0%,0,0%
2022*+,27,KAN,QB,15,17,17,1131,98%,0,0%,0,0%
2023*,28,KAN,QB,15,16,16,1051,98%,0,0%,0,0%
2024,29,KAN,QB,15,16,16,1106,99%,0,0%,0,0%
Career,,,,,,7453,,0,,0,,
