Year,Tm,Level,Pos,Voters
1999,1st Tm,All-Conf.,,Pro Football Writers
1999,2nd Tm,,QB,Associated Press
2000,2nd Tm,,QB,Associated Press
2003,1st Tm,All-Conf.,,Pro Football Writers
2003,1st Tm,,QB,Associated Press
2003,1st Tm,,,Pro Football Writers
2003,1st Tm,,,Sporting News
2004,1st Tm,All-Conf.,,Pro Football Writers
2004,1st Tm,,QB,Associated Press
2004,1st Tm,,,Pro Football Writers
2004,1st Tm,,,Sporting News
2005,1st Tm,All-Conf.,,Pro Football Writers
2005,1st Tm,,QB,Associated Press
2005,1st Tm,,,Pro Football Writers
2005,1st Tm,,,Sporting News
2006,1st Tm,All-Conf.,QB,Pro Football Writers
2006,2nd Tm,,QB,Associated Press
2008,1st Tm,All-Conf.,QB,Pro Football Writers
2008,1st Tm,,QB,Associated Press
2008,1st Tm,,,Pro Football Writers
2009,1st Tm,All-Conf.,QB,Pro Football Writers
2009,1st Tm,,QB,Associated Press
2009,1st Tm,,,Pro Football Writers
2009,2nd Tm,,QB,Pro Football Focus
2009,2nd Tm,,,Sporting News
Year,Tm,Level,Pos,Voters
2012,1st Tm,All-Conf.,QB,Pro Football Writers
2012,1st Tm,,QB,Associated Press
2012,1st Tm,,QB,Pro Football Writers
2012,1st Tm,,QB,Pro Football Focus
2013,1st Tm,All-Conf.,QB,Pro Football Writers
2013,1st Tm,,QB,Associated Press
2013,1st Tm,,QB,Pro Football Writers
2013,1st Tm,,QB,Pro Football Focus
2013,1st Tm,,QB,Sporting News
