Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Def Interceptions,Fumbles,,Tackles,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1998,22,IND,NFL,QB,16,16,0,0,0,0,,0,3,0,0,0,0.0,0,0,0,,,0,AP ORoY-2
1999,23,IND,NFL,QB,16,16,0,0,0,0,0,0,6,2,-5,0,0.0,0,0,0,0,,0,"PB,AP-2,AP MVP-2,AP OPoY-3"
2000,24,IND,NFL,QB,16,16,0,0,0,0,0,0,5,1,-3,0,0.0,,,,,,0,"PB,AP-2,AP MVP-5,AP OPoY-8"
2001,25,IND,NFL,QB,16,16,0,0,0,0,0,0,7,3,-2,0,0.0,0,0,0,0,,0,
2002,26,IND,NFL,QB,16,16,0,0,0,0,0,0,6,2,-1,0,0.0,0,0,0,0,,0,PB
2003,27,IND,NFL,QB,16,16,0,0,0,0,0,0,6,4,-9,0,0.0,0,0,0,0,,0,"PB,AP-1,AP MVP-1,AP OPoY-3"
2004,28,IND,NFL,QB,16,16,0,0,0,0,0,0,5,3,-3,0,0.0,0,0,0,0,,0,"PB,AP-1,AP MVP-1,AP OPoY-1"
2005,29,IND,NFL,QB,16,16,0,0,0,0,0,0,5,0,-1,0,0.0,0,0,0,0,,0,"PB,AP-1,AP MVP-2,AP OPoY-2"
2006,30,IND,NFL,QB,16,16,0,0,0,0,0,0,2,0,0,0,0.0,,,,,,0,"PB,AP-2,AP MVP-3,AP OPoY-3"
2007,31,IND,NFL,QB,16,16,0,0,0,0,0,0,6,3,0,0,0.0,0,0,0,0,0,0,PB
2008,32,IND,NFL,QB,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,,,0,"PB,AP-1,AP MVP-1,AP OPoY-2"
2009,33,IND,NFL,QB,16,16,0,0,0,0,0,0,2,0,-4,0,0.0,0,0,0,,,0,"PB,AP-1,AP MVP-1,AP OPoY-3"
2010,34,IND,NFL,QB,16,16,0,0,0,0,0,0,3,1,-2,0,0.0,0,0,0,,,0,PB
2011,Did not play - Injured (neck),,,,,,,,,,,,,,,,,,,,,,,
2012,36,DEN,NFL,QB,16,16,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,,,0,"PB,AP-1,AP MVP-2,AP OPoY-2,AP CPoY-1"
2013,37,DEN,NFL,QB,16,16,0,0,0,0,0,0,10,2,-4,0,0.0,0,0,0,0,0,0,"PB,AP-1,AP MVP-1,AP OPoY-1"
2014,38,DEN,NFL,QB,16,16,0,0,0,0,0,0,5,1,-11,0,0.0,0,0,0,0,0,0,PB
2015,39,DEN,NFL,QB,10,9,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,,,0,
17 Yrs,,266,265,0,0,0,0,0,0,75,23,-45,0,0.0,0,0,0,0,0,0,,,,
17 Game Avg,,17,17,0,0,0,0,,0,5,1,-3,0,0.0,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
IND (13 Yrs),,208,208,0,0,0,0,0,0,57,19,-30,0,0.0,0,0,0,0,0,0,,,,
DEN (4 Yrs),,58,57,0,0,0,0,0,0,18,4,-15,0,0.0,0,0,0,0,0,0,,,,
