Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24
,Touchdowns,PAT,FG,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,RshTD,RecTD,PRTD,KRTD,FRTD,IntTD,OthTD,AllTD,2PM,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Awards
1999,23,IND,NFL,QB,16,16,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0.8,"PB,AP-2,AP MVP-2,AP OPoY-3"
2000,24,IND,NFL,QB,16,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0.4,"PB,AP-2,AP MVP-5,AP OPoY-8"
2001,25,IND,NFL,QB,16,16,4,0,0,0,0,0,0,4,0,0,0,0,0,0,24,1.5,
2002,26,IND,NFL,QB,16,16,2,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0.8,PB
,,,,,,,,,,,,,,,,,,,,,,,
2006,30,IND,NFL,QB,16,16,4,0,0,0,0,0,0,4,0,0,0,0,0,0,24,1.5,"PB,AP-2,AP MVP-3,AP OPoY-3"
2007,31,IND,NFL,QB,16,16,3,0,0,0,0,0,0,3,0,0,0,0,0,0,18,1.1,PB
2008,32,IND,NFL,QB,16,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0.4,"PB,AP-1,AP MVP-1,AP OPoY-2"
,,,,,,,,,,,,,,,,,,,,,,,
2013,37,DEN,NFL,QB,16,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0.4,"PB,AP-1,AP MVP-1,AP OPoY-1"
17 Yrs,,266,265,18,0,0,0,0,0,0,18,0,0,0,0,0,0,108,0.4,,,,
17 Game Avg,,17,17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,
IND (13 Yrs),,208,208,17,0,0,0,0,0,0,17,0,0,0,0,0,0,102,0.5,,,,
DEN (4 Yrs),,58,57,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0.1,,,,
