Year,Tm,Level,Pos,Voters
1983,1st Tm,All-Conf.,,Pro Football Weekly
1983,1st Tm,All-Conf.,,UPI
1983,2nd Tm,,QB,Associated Press
1984,1st Tm,All-Conf.,,Pro Football Weekly
1984,1st Tm,All-Conf.,,UPI
1984,1st Tm,,QB,Associated Press
1984,1st Tm,,,Pro Football Writers
1984,1st Tm,,,Newspaper Ent. Assoc.
1984,1st Tm,,,Pro Football Weekly
1984,1st Tm,,,Sporting News
1985,1st Tm,All-Conf.,,UPI
1985,1st Tm,,QB,Associated Press
1985,1st Tm,,,Pro Football Writers
1985,2nd Tm,,,Newspaper Ent. Assoc.
1985,1st Tm,,,Sporting News
1986,1st Tm,All-Conf.,,Pro Football Weekly
1986,1st Tm,All-Conf.,,UPI
1986,1st Tm,,QB,Associated Press
1986,1st Tm,,,Pro Football Writers
1986,2nd Tm,,,Newspaper Ent. Assoc.
1986,1st Tm,,,Pro Football Weekly
1986,1st Tm,,,Sporting News
1988,2nd Tm,,,Newspaper Ent. Assoc.
1992,1st Tm,All-Conf.,,Pro Football Writers
1992,1st Tm,All-Conf.,,UPI
1992,2nd Tm,,,Newspaper Ent. Assoc.
1994,1st Tm,All-Conf.,,Pro Football Writers
1994,1st Tm,All-Conf.,,UPI
1994,2nd Tm,,QB,Associated Press
1995,2nd Tm,All-Conf.,,UPI
1995,2nd Tm,,QB,Associated Press
