Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23
,Def Interceptions,Fumbles,,Tackles,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,Sfty,Awards
1983,22,MIA,NFL,QB,11,9,0,0,0,0,,,5,2,0,0,0.0,,,,0,"PB,AP-2,AP MVP-3,AP OPoY-3,AP ORoY-2"
1984,23,MIA,NFL,QB,16,16,0,0,0,0,,,6,2,-3,0,0.0,,,,0,"PB,AP-1,AP MVP-1,AP OPoY-1"
1985,24,MIA,NFL,QB,16,16,0,0,0,0,,,9,2,-4,0,0.0,,,,0,"PB,AP-1"
1986,25,MIA,NFL,QB,16,16,0,0,0,0,,,8,4,-12,0,0.0,,,,0,"PB,AP-1,AP MVP-3,AP OPoY-2"
1987,26,MIA,NFL,QB,12,12,0,0,0,0,,,5,4,-25,0,0.0,,,,0,PB
1988,27,MIA,NFL,QB,16,16,0,0,0,0,,,10,8,-31,0,0.0,,,,0,AP OPoY-4
1989,28,MIA,NFL,QB,16,16,0,0,0,0,,0,7,0,-4,0,0.0,,,,0,
1990,29,MIA,NFL,QB,16,16,0,0,0,0,,0,3,2,0,0,0.0,,,,0,
1991,30,MIA,NFL,QB,16,16,0,0,0,0,,0,6,3,-8,0,0.0,,,,0,PB
1992,31,MIA,NFL,QB,16,16,0,0,0,0,,0,5,2,-12,0,0.0,,,,0,PB
1993,32,MIA,NFL,QB,5,5,0,0,0,0,,0,4,2,-13,0,0.0,,,,0,
1994,33,MIA,NFL,QB,16,16,0,0,0,0,,0,9,3,-4,0,0.0,0,0,0,0,"PB,AP-2"
1995,34,MIA,NFL,QB,14,14,0,0,0,0,,0,7,3,-14,0,0.0,0,0,0,0,"PB,AP-2"
1996,35,MIA,NFL,QB,13,13,0,0,0,0,,0,4,1,-3,0,0.0,0,0,0,0,
1997,36,MIA,NFL,QB,16,16,0,0,0,0,,0,8,3,-17,0,0.0,0,0,0,0,
1998,37,MIA,NFL,QB,16,16,0,0,0,0,,0,9,2,-9,0,0.0,0,0,0,0,
1999,38,MIA,NFL,QB,11,11,0,0,0,0,0,0,5,0,0,0,0.0,,,,0,
17 Yrs,,242,240,0,0,0,0,0,0,110,43,-159,0,0.0,0,0,0,0,,,,
17 Game Avg,,17,17,0,0,0,0,,,8,3,-11,0,0.0,,,,0,,,,
