Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34
,Rushing,Receiving,Scrimmage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1983,22,MIA,NFL,QB,11,9,28,45,2,,,15,1.6,4.1,2.5,,0,0,,0,,,,0.0,0.0,,,28,1.6,45,2,5,"PB,AP-2,AP MVP-3,AP OPoY-3,AP ORoY-2"
1984,23,MIA,NFL,QB,16,16,28,-7,0,,,10,-0.3,-0.4,1.8,,0,0,,0,,,,0.0,0.0,,,28,-0.3,-7,0,6,"PB,AP-1,AP MVP-1,AP OPoY-1"
1985,24,MIA,NFL,QB,16,16,26,-24,0,,,6,-0.9,-1.5,1.6,,0,0,,0,,,,0.0,0.0,,,26,-0.9,-24,0,9,"PB,AP-1"
1986,25,MIA,NFL,QB,16,16,12,-3,0,,,13,-0.3,-0.2,0.8,,0,0,,0,,,,0.0,0.0,,,12,-0.3,-3,0,8,"PB,AP-1,AP MVP-3,AP OPoY-2"
1987,26,MIA,NFL,QB,12,12,12,-5,1,,,5,-0.4,-0.4,1.0,,0,0,,0,,,,0.0,0.0,,,12,-0.4,-5,1,5,PB
1988,27,MIA,NFL,QB,16,16,20,-17,0,,,6,-0.9,-1.1,1.3,,0,0,,0,,,,0.0,0.0,,,20,-0.9,-17,0,10,AP OPoY-4
1989,28,MIA,NFL,QB,16,16,14,-7,2,,,2,-0.5,-0.4,0.9,,0,0,,0,,,,0.0,0.0,,,14,-0.5,-7,2,7,
1990,29,MIA,NFL,QB,16,16,16,29,0,,,15,1.8,1.8,1.0,,0,0,,0,,,,0.0,0.0,,,16,1.8,29,0,3,
1991,30,MIA,NFL,QB,16,16,27,32,1,,,11,1.2,2.0,1.7,,0,0,,0,,,,0.0,0.0,,,27,1.2,32,1,6,PB
1992,31,MIA,NFL,QB,16,16,20,66,0,,,12,3.3,4.1,1.3,0,0,0,,0,,,,0.0,0.0,,,20,3.3,66,0,5,PB
1993,32,MIA,NFL,QB,5,5,9,-4,1,,,4,-0.4,-0.8,1.8,0,0,0,,0,,,,0.0,0.0,,,9,-0.4,-4,1,4,
1994,33,MIA,NFL,QB,16,16,22,-6,1,2,9.1,10,-0.3,-0.4,1.4,0,0,0,,0,0,,,0.0,0.0,,,22,-0.3,-6,1,9,"PB,AP-2"
1995,34,MIA,NFL,QB,14,14,11,14,0,1,18.2,12,1.3,1.0,0.8,1,1,-6,-6.0,0,0,0.0,-6,0.1,-0.4,100.0,-6.0,12,0.7,8,0,7,"PB,AP-2"
1996,35,MIA,NFL,QB,13,13,11,-3,0,0,9.1,7,-0.3,-0.2,0.8,0,0,0,,0,0,,,0.0,0.0,,,11,-0.3,-3,0,4,
1997,36,MIA,NFL,QB,16,16,18,-14,0,0,0.0,1,-0.8,-0.9,1.1,0,0,0,,0,0,,,0.0,0.0,,,18,-0.8,-14,0,8,
1998,37,MIA,NFL,QB,16,16,21,-3,1,2,4.8,10,-0.1,-0.2,1.3,0,0,0,,0,0,,,0.0,0.0,,,21,-0.1,-3,1,9,
1999,38,MIA,NFL,QB,11,11,6,-6,0,1,0.0,,-1.0,-0.5,0.5,0,0,0,,0,0,,,0.0,0.0,,,6,-1.0,-6,0,5,
17 Yrs,,242,240,301,87,9,6,6.7,15,0.3,0.4,1.2,1,1,-6,-6.0,0,0,0.0,-6,0.0,0.0,100.0,-6.0,302,0.3,81,9,110,,,,
17 Game Avg,,17,17,21,6,1,,,15,0.3,0.4,1.2,,0,0,-6.0,0,,,-6,0.0,0.0,,,21,0.0,6,1,8,,,,
