Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24
,Touchdowns,PAT,FG,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,RshTD,RecTD,PRTD,KRTD,FRTD,IntTD,OthTD,AllTD,2PM,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Awards
1983,22,MIA,NFL,QB,11,9,2,0,0,0,0,0,0,2,,0,0,0,0,0,12,1.1,"PB,AP-2,AP MVP-3,AP OPoY-3,AP ORoY-2"
,,,,,,,,,,,,,,,,,,,,,,,
1987,26,MIA,NFL,QB,12,12,1,0,0,0,0,0,0,1,,0,0,0,0,0,6,0.5,PB
,,,,,,,,,,,,,,,,,,,,,,,
1989,28,MIA,NFL,QB,16,16,2,0,0,0,0,0,0,2,,0,0,0,0,0,12,0.8,
,,,,,,,,,,,,,,,,,,,,,,,
1991,30,MIA,NFL,QB,16,16,1,0,0,0,0,0,0,1,,0,0,0,0,0,6,0.4,PB
,,,,,,,,,,,,,,,,,,,,,,,
1993,32,MIA,NFL,QB,5,5,1,0,0,0,0,0,0,1,,0,0,0,0,0,6,1.2,
1994,33,MIA,NFL,QB,16,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0.4,"PB,AP-2"
,,,,,,,,,,,,,,,,,,,,,,,
1998,37,MIA,NFL,QB,16,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0.4,
17 Yrs,,242,240,9,0,0,0,0,0,0,9,0,0,0,0,0,0,54,0.2,,,,
17 Game Avg,,17,17,1,0,0,0,0,0,0,1,,0,0,0,0,0,4,0.2,,,,
