Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20
,,,,Totals,League Averages,Relative,,,,,,,,,,,,,
Year,G,G plyf,Pos,Home,Visitor,Home%,HWin%,Tot,Yds,Pen/G,Yds/G,Home%,HWin%,Pen/G,Yds/G,Home%,HWin%,Pen/G,Yds/G
1999,17,1,Side Judge,100,112,47.17%,52.94%,212,1687,12.47,99.24,48.08%,60.23%,13.17,109.42,-0.91%,-59.70%,-0.70,-10.18
2000,16,1,Side Judge,96,104,48.00%,62.50%,200,1731,12.50,108.19,49.59%,56.76%,12.62,104.77,-1.59%,-56.13%,-0.12,+3.42
2001,14,0,Referee,103,108,48.82%,64.29%,211,1811,15.07,129.36,47.70%,55.21%,11.49,96.97,+1.12%,-54.57%,+3.58,+32.39
2002,16,1,Referee,99,118,45.62%,62.50%,217,1828,13.56,114.25,48.45%,58.80%,12.94,107.75,-2.83%,-58.17%,+.62,+6.50
2003,16,0,Referee,104,120,46.43%,43.75%,224,1866,14.00,116.63,47.25%,61.42%,13.07,108.01,-0.82%,-60.98%,+.93,+8.62
2004,18,2*,Referee,117,115,50.43%,61.11%,232,1799,12.89,99.94,47.50%,56.55%,13.81,112.82,+2.93%,-55.94%,-0.92,-12.88
2005,16,1,Referee,117,134,46.61%,37.50%,251,2157,15.69,134.81,47.50%,58.05%,14.38,115.07,-0.89%,-57.67%,+1.31,+19.74
2006,17,1,Referee,100,103,49.26%,58.82%,203,1717,11.94,101.00,48.19%,54.31%,11.81,97.59,+1.07%,-53.72%,+.13,+3.41
2007,17,1,Referee,87,119,42.23%,70.59%,206,1646,12.12,96.82,47.16%,57.30%,11.40,89.79,-4.93%,-56.59%,+.72,+7.03
2008,17,2*,Referee,105,102,50.72%,64.71%,207,1622,12.18,95.41,50.36%,56.93%,11.30,90.08,+.36%,-56.28%,+.88,+5.33
2009,15,0,Referee,88,93,48.62%,66.67%,181,1463,12.07,97.53,49.08%,57.68%,11.87,97.57,-0.46%,-57.01%,+.20,-0.04
2010,16,1,Referee,96,104,48.00%,43.75%,200,1732,12.50,108.25,51.13%,55.06%,12.06,101.33,-3.13%,-54.62%,+.44,+6.92
2011,15,0,Referee,93,108,46.27%,60.00%,201,1834,13.40,122.27,48.89%,57.68%,12.65,106.76,-2.62%,-57.08%,+.75,+15.51
2012,13,1,Referee,81,90,47.37%,53.85%,171,1384,13.15,106.46,48.65%,56.93%,12.44,105.25,-1.28%,-56.39%,+.71,+1.21
2013,17,2*,Referee,100,95,51.28%,52.94%,195,1703,11.47,100.18,48.31%,59.93%,12.17,105.03,+2.97%,-59.40%,-0.70,-4.85
2014,16,1,Referee,106,113,48.40%,50.00%,219,1863,13.69,116.44,48.41%,57.30%,13.21,110.68,-0.01%,-56.80%,+.48,+5.76
2015,16,1,Referee,115,122,48.52%,62.50%,237,2067,14.81,129.19,49.16%,54.31%,13.75,117.11,-0.64%,-53.68%,+1.06,+12.08
2016,13,1,Referee,83,104,44.39%,38.46%,187,1571,14.38,120.85,48.68%,58.43%,13.33,114.94,-4.29%,-58.05%,+1.05,+5.91
2017,15,0,Referee,105,98,51.72%,53.33%,203,1769,13.53,117.93,47.84%,57.30%,13.20,114.62,+3.88%,-56.77%,+.33,+3.31
