Date,Down,ToGo,Location,,Detail
2025-01-05,2,4,2-4 WAS 4,U,"Trey Lance pass incomplete short right intended for Jake Ferguson (defended by Bobby Wagner) DAL challenged the pass completion ruling, and the play was upheld."
,,,,,"DAL challenged the pass completion ruling, and the play was upheld."
2024-11-18,1,10,1-10 HTX 39,O,"C.J. Stroud pass complete deep middle to Nico Collins for no gain (tackle by Trevon Diggs) DAL challenged the pass completion ruling, and the original play was overturned. C.J. Stroud pass incomplete deep middle intended for Nico Collins"
,,,,,"DAL challenged the pass completion ruling, and the play was overturned."
2024-10-06,2,10,2-10 PIT 42,U,"Justin Fields sacked by Linval Joseph for -14 yards. Justin Fields fumbles (forced by Linval Joseph), recovered by Justin Fields at PIT-28 (tackle by Linval Joseph) DAL challenged the fumble ruling, and the play was upheld."
,,,,,"DAL challenged the fumble ruling, and the play was upheld."
2024-09-26,1,10,1-10 NYG 28,U,"Devin Singletary left end for 2 yards (tackle by Eric Kendricks and DeMarvion Overshown) DAL challenged the runner was down by contact ruling, and the play was upheld."
,,,,,"DAL challenged the runner was down by contact ruling, and the play was upheld."
2024-09-22,3,5,3-5 RAV 27,U,"Lamar Jackson right end for 5 yards (tackle by Caelen Carson) DAL challenged the first down ruling, and the play was upheld."
,,,,,"DAL challenged the first down ruling, and the play was upheld."
2024 Challenges: 5 Overturned: 1 Upheld: 4,,,,,
