Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31
,Rushing,Receiving,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Drop,Drop%,Int,Rat,Awards
2018,29,CAR,NFL,QB,14,14,101,488,36,270,2.7,218,2.2,7,14.4,0,0,0,0,0,,0,,,0,0,,0,,
2019,30,CAR,NFL,QB,2,2,5,-2,0,-2,-0.4,0,0.0,0,,0,0,0,0,0,,0,,,0,0,,0,,
2020,31,NWE,NFL,QB,15,15,137,592,55,411,3.0,181,1.3,4,34.3,2,2,35,2,17,8.5,18,9.0,8.5,0,0,0.0,0,158.3,
2021,32,CAR,NFL,QB,8,5,47,230,20,147,3.1,83,1.8,5,9.4,0,0,0,0,0,,0,,,0,0,,0,,
4 Yrs,,39,36,290,1308,111,826,2.8,482,1.7,16,18.1,2,2,35,2,17,8.5,18,9.0,8.5,0,0,0.0,0,158.3,,,,
17 Game Avg,,17,16,126,570,48,360,2.8,210,1.7,7,18.1,1,1,15,1,7,8.5,8,9.0,8.5,0,0,0.0,0,158.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR (3 Yrs),,24,21,153,716,56,415,2.7,301,2.0,12,12.8,0,0,0,0,0,,0,,,0,0,,0,,,,,
NWE (1 Yr),,15,15,137,592,55,411,3.0,181,1.3,4,34.3,2,2,35,2,17,8.5,18,9.0,8.5,0,0,0.0,0,158.3,,,,
