Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Def Interceptions,Fumbles,,Tackles,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
2011,22,CAR,NFL,QB,16,16,0,0,0,0,0,0,5,3,-4,0,0.0,0,0,0,0,0,0,"PB,AP ORoY-1"
2012,23,CAR,NFL,QB,16,16,0,0,0,0,0,0,10,3,-8,0,0.0,0,0,0,0,0,0,
2013,24,CAR,NFL,QB,16,16,0,0,0,0,0,0,3,1,-8,0,0.0,0,0,0,0,0,0,PB
2014,25,CAR,NFL,QB,14,14,0,0,0,0,0,0,9,3,-10,0,0.0,0,0,0,0,0,0,
2015,26,CAR,NFL,QB,16,16,0,0,0,0,0,0,5,1,-10,0,0.0,0,0,0,0,0,0,"PB,AP-1,AP MVP-1,AP OPoY-1"
2016,27,CAR,NFL,QB,15,14,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,
2017,28,CAR,NFL,QB,16,16,0,0,0,0,0,0,9,3,-17,0,0.0,0,0,0,0,0,0,
2018,29,CAR,NFL,QB,14,14,0,0,0,0,0,0,6,1,0,0,0.0,0,0,0,0,0,0,
2019,30,CAR,NFL,QB,2,2,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,
2020,31,NWE,NFL,QB,15,15,0,0,0,0,0,0,6,3,-29,0,0.0,0,0,0,0,0,0,
2021,32,CAR,NFL,QB,8,5,0,0,0,0,0,0,4,1,3,0,0.0,0,0,0,0,0,0,
11 Yrs,,148,144,0,0,0,0,0,0,62,20,-83,0,0.0,0,0,0,0,0,0,,,,
17 Game Avg,,17,17,0,0,0,0,0,0,7,2,-10,0,0.0,0,0,0,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
CAR (10 Yrs),,133,129,0,0,0,0,0,0,56,17,-54,0,0.0,0,0,0,0,0,0,,,,
NWE (1 Yr),,15,15,0,0,0,0,0,0,6,3,-29,0,0.0,0,0,0,0,0,0,,,,
