Year,Age,G,FantPos,FantPt,VBD,PosRank,OvRank,
2011,22,16,QB,369,147,3,5,All 2011 Games
2012,23,16,QB,323,73,4,20,All 2012 Games
2013,24,16,QB,298,39,3,40,All 2013 Games
2014,25,14,QB,249,,17,,All 2014 Games
2015,26,16,QB,389,105,1,5,All 2015 Games
2016,27,15,QB,254,,17,78,All 2016 Games
2017,28,16,QB,299,44,2,23,All 2017 Games
2018,29,14,QB,283,,12,74,All 2018 Games
2019,30,2,QB,17,,50,,All 2019 Games
2020,31,15,QB,259,,16,,All 2020 Games
2021,32,8,QB,86,,34,,All 2021 Games
,,,,2826,,,,Career Summary
