Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35,Column_36,Column_37,Column_38,Column_39,Column_40,Column_41,Column_42
,Air Yards,Accuracy,Pressure,RPO,PlayAction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt,PassYds,Awards
2018,29,CAR,NFL,QB,14,14,320,471,3384,7.2,1652,5.2,3.5,1743,5.4,0,16,3,24,5.3,62,13.7,,,2.3,135,49,22,100,19.0,27,7.4,,,,,,,,,
2019,30,CAR,NFL,QB,2,2,50,89,793,8.9,368,7.4,4.1,204,4.1,2,2,1,3,3.5,26,30.2,54,62.8,2.2,43,12,5,23,24.0,1,3.0,15,116,12,116,2,0,22,195,
2020,31,NWE,NFL,QB,15,15,242,368,2496,6.8,1393,5.8,3.8,1264,5.2,9,11,2,15,4.2,70,19.7,265,74.6,2.6,178,48,30,109,26.0,20,9.3,36,145,13,61,23,84,99,863,
2021,32,CAR,NFL,QB,8,5,69,126,880,7.0,375,5.4,3.0,309,4.5,6,2,0,6,4.8,28,22.6,81,65.3,2.2,59,15,10,35,24.5,7,8.3,32,202,19,119,12,83,19,113,
4 Yrs,,39,36,681,1054,7553,7.2,3788,5.6,3.6,3520,5.2,17,31,6,48,4.7,186,18.3,400,39.3,2.3,415,124,67,267,22.5,55,8.1,83,463,44,296,37,167,140,1171,,,,
17 Game Avg,,17,16,297,459,3292,7.2,1651,5.6,3.6,1534,5.2,7,14,3,21,4.7,81,18.3,,,2.3,181,54,29,116,22.5,24,8.1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR (3 Yrs),,24,21,439,686,5057,7.4,2395,5.5,3.5,2256,5.1,8,20,4,33,5.0,116,17.5,135,20.4,2.2,237,76,37,158,20.6,35,7.4,47,318,31,235,14,83,41,308,,,,
NWE (1 Yr),,15,15,242,368,2496,6.8,1393,5.8,3.8,1264,5.2,9,11,2,15,4.2,70,19.7,265,74.6,2.6,178,48,30,109,26.0,20,9.3,36,145,13,61,23,84,99,863,,,,
