Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34
,Rushing,Receiving,Scrimmage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
2011,22,CAR,NFL,QB,16,16,126,706,14,53,53.2,49,5.6,44.1,7.9,1,1,27,27.0,0,1,100.0,27,0.1,1.7,100.0,27.0,127,5.8,733,14,5,"PB,AP ORoY-1"
2012,23,CAR,NFL,QB,16,16,127,741,8,52,52.0,72,5.8,46.3,7.9,1,0,6,,0,0,0.0,6,0.0,0.4,0.0,6.0,127,5.9,747,8,10,
2013,24,CAR,NFL,QB,16,16,111,585,6,45,55.0,56,5.3,36.6,6.9,0,0,0,,0,0,,,0.0,0.0,,,111,5.3,585,6,3,PB
2014,25,CAR,NFL,QB,14,14,103,539,5,48,61.2,22,5.2,38.5,7.4,0,0,0,,0,0,,,0.0,0.0,,,103,5.2,539,5,9,
2015,26,CAR,NFL,QB,16,16,132,636,10,59,56.1,47,4.8,39.8,8.3,0,0,0,,0,0,,,0.0,0.0,,,132,4.8,636,10,5,"PB,AP-1,AP MVP-1,AP OPoY-1"
2016,27,CAR,NFL,QB,15,14,90,359,5,28,52.2,28,4.0,23.9,6.0,0,0,0,,0,0,,,0.0,0.0,,,90,4.0,359,5,3,
2017,28,CAR,NFL,QB,16,16,139,754,6,46,49.6,69,5.4,47.1,8.7,0,0,0,,0,0,,,0.0,0.0,,,139,5.4,754,6,9,
2018,29,CAR,NFL,QB,14,14,101,488,4,36,48.5,29,4.8,34.9,7.2,0,0,0,,0,0,,,0.0,0.0,,,101,4.8,488,4,6,
2019,30,CAR,NFL,QB,2,2,5,-2,0,0,0.0,3,-0.4,-1.0,2.5,0,0,0,,0,0,,,0.0,0.0,,,5,-0.4,-2,0,2,
2020,31,NWE,NFL,QB,15,15,137,592,12,55,54.0,49,4.3,39.5,9.1,2,2,35,17.5,1,2,100.0,19,0.1,2.3,100.0,17.5,139,4.5,627,13,6,
2021,32,CAR,NFL,QB,8,5,47,230,5,20,55.3,33,4.9,28.8,5.9,0,0,0,,0,0,,,0.0,0.0,,,47,4.9,230,5,4,
11 Yrs,,148,144,1118,5628,75,442,53.3,72,5.0,38.0,7.6,4,3,68,22.7,1,3,75.0,27,0.0,0.5,75.0,17.0,1121,5.1,5696,76,62,,,,
17 Game Avg,,17,17,128,646,9,51,53.3,72,5.0,38.0,7.6,0,0,8,22.7,0,0,75.0,27,0.0,0.5,75.0,17.0,129,0.6,654,9,7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR (10 Yrs),,133,129,981,5036,63,387,53.2,72,5.1,37.9,7.4,2,1,33,33.0,0,1,50.0,27,0.0,0.2,50.0,16.5,982,5.2,5069,63,56,,,,
NWE (1 Yr),,15,15,137,592,12,55,54.0,49,4.3,39.5,9.1,2,2,35,17.5,1,2,100.0,19,0.1,2.3,100.0,17.5,139,4.5,627,13,6,,,,
