Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Touchdowns,,PAT,FG,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,RshTD,RecTD,PRTD,KRTD,FRTD,IntTD,OthTD,AllTD,2PM,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Awards
2011,22,CAR,NFL,QB,16,16,14,0,0,0,0,0,0,14,0,,0,0,0,0,0,84,5.3,"PB,AP ORoY-1"
2012,23,CAR,NFL,QB,16,16,8,0,0,0,0,0,0,8,0,,0,0,0,0,0,48,3.0,
2013,24,CAR,NFL,QB,16,16,6,0,0,0,0,0,0,6,0,,0,0,0,0,0,36,2.3,PB
2014,25,CAR,NFL,QB,14,14,5,0,0,0,0,0,0,5,0,,0,0,0,0,0,30,2.1,
2015,26,CAR,NFL,QB,16,16,10,0,0,0,0,0,0,10,0,,0,0,0,0,0,60,3.8,"PB,AP-1,AP MVP-1,AP OPoY-1"
2016,27,CAR,NFL,QB,15,14,5,0,0,0,0,0,0,5,1,,0,0,0,0,0,32,2.1,
2017,28,CAR,NFL,QB,16,16,6,0,0,0,0,0,0,6,1,,0,0,0,0,0,38,2.4,
2018,29,CAR,NFL,QB,14,14,4,0,0,0,0,0,0,4,0,,0,0,0,0,0,24,1.7,
,,,,,,,,,,,,,,,,,,,,,,,,
2020,31,NWE,NFL,QB,15,15,12,1,0,0,0,0,0,13,0,,0,0,0,0,0,78,5.2,
2021,32,CAR,NFL,QB,8,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,30,3.8,
11 Yrs,,148,144,75,1,0,0,0,0,0,76,2,0,0,0,0,0,0,460,3.1,,,,
17 Game Avg,,17,17,9,0,0,0,0,0,0,9,0,,0,0,0,0,0,53,3.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
CAR (10 Yrs),,133,129,63,0,0,0,0,0,0,63,2,0,0,0,0,0,0,382,2.9,,,,
NWE (1 Yr),,15,15,12,1,0,0,0,0,0,13,0,,0,0,0,0,0,78,5.2,,,,
