NumYrs,Players whose career was of similar quality and shape
3,"Russell Wilson, Peyton Manning*, Andrew Luck, Dan Marino*, Dak Prescott, Jeff Garcia, Matt Ryan, Aaron Brooks, Carson Palmer, Steve Grogan"
4,"Peyton Manning*, Jeff Garcia, Russell Wilson, Matt Ryan, Dan Marino*, Dak Prescott, Steve Grogan, Aaron Brooks, Carson Palmer, Joe Namath*"
5,"Russell Wilson, Dan Marino*, Peyton Manning*, Jeff Garcia, Matt Ryan, Patrick Mahomes, Steve Grogan, Joe Namath*, Daunte Culpepper, Aaron Brooks"
6,"Dan Marino*, Russell Wilson, Peyton Manning*, Matt Ryan, Jeff Garcia, Daunte Culpepper, Steve Grogan, Brett Favre*, Jim Kelly*, Boomer Esiason"
7,"Dan Marino*, Peyton Manning*, Russell Wilson, Matt Ryan, Brett Favre*, Fran Tarkenton*, Jim Kelly*, Boomer Esiason, Daunte Culpepper, Steve Grogan"
8,"Russell Wilson, Dan Marino*, Peyton Manning*, Matt Ryan, Fran Tarkenton*, Brett Favre*, Jim Kelly*, Tom Brady, Boomer Esiason, Philip Rivers"
9,"Brett Favre*, Matt Ryan, Dan Marino*, Drew Brees, Philip Rivers, Fran Tarkenton*, Russell Wilson, Joe Montana*, Eli Manning, Tom Brady"
10,"Dan Marino*, Brett Favre*, Matt Ryan, Fran Tarkenton*, Drew Brees, Tom Brady, Joe Montana*, Russell Wilson, Philip Rivers, Dan Fouts*"
11,"Tom Brady, Dan Marino*, Drew Brees, Philip Rivers, Joe Montana*, Dan Fouts*, Fran Tarkenton*, Brett Favre*, Russell Wilson, Matt Ryan"
Career,"Randall Cunningham, Steve Young*, Russell Wilson, Dan Fouts*, Ken Anderson, Roger Staubach*, Kurt Warner*, Steve McNair, Rich Gannon, Tony Romo"
