Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13
,Games,Off.,Def.,ST,,,,,,,,
Year,Age,Tm,Pos,No.,G,GS,Num,Pct,Num,Pct,Num,Pct
2012,23,CAR,QB,1,16,16,1021,99%,0,0%,0,0%
2013*,24,CAR,QB,1,16,16,1014,99%,0,0%,0,0%
2014,25,CAR,QB,1,14,14,927,97%,0,0%,0,0%
2015*+,26,CAR,QB,1,16,16,1077,98%,0,0%,0,0%
2016,27,CAR,QB,1,15,14,1023,97%,0,0%,0,0%
2017,28,CAR,QB,1,16,16,1051,99%,0,0%,0,0%
2018,29,CAR,QB,1,14,14,885,99%,0,0%,0,0%
2019,30,CAR,QB,1,2,2,141,100%,0,0%,0,0%
2020,31,NWE,QB,1,15,15,876,94%,0,0%,0,0%
2021,32,CAR,QB,1,8,5,252,48%,0,0%,0,0%
Career,,,,,,8267,,0,,0,,
9 yrs,CAR,,,117,113,7391,,0,,0,,
1 yr,NWE,,,15,15,876,,0,,0,,
