Year,Tm,Level,Pos,Voters
1968,2nd Tm,,,UPI
1969,2nd Tm,All-NFL/AFL,DT,Pro Football Writers
1969,2nd Tm,All-NFL/AFL,DT,Hall of Fame
1969,2nd Tm,All-NFL/AFL,DT,Newspaper Ent. Assoc.
1969,1st Tm,All-Conf.,DT,Sporting News
1969,2nd Tm,,DT,Associated Press
1969,2nd Tm,,DT,Newspaper Ent. Assoc.
1969,2nd Tm,,DT,NY Daily News
1969,2nd Tm,,DT,Pro Football Weekly
1969,1st Tm,,DT,UPI
1970,1st Tm,All-Conf.,,Associated Press
1970,1st Tm,All-Conf.,,Pro Football Weekly
1970,1st Tm,All-Conf.,,Sporting News
1970,1st Tm,All-Conf.,,UPI
1970,1st Tm,,DT,Associated Press
1970,1st Tm,,,Pro Football Writers
1970,1st Tm,,,Newspaper Ent. Assoc.
1970,1st Tm,,,Pro Football Weekly
1971,1st Tm,All-Conf.,,Associated Press
1971,1st Tm,All-Conf.,,Pro Football Weekly
1971,1st Tm,All-Conf.,,Sporting News
1971,1st Tm,All-Conf.,,UPI
1971,1st Tm,,DT,Associated Press
1971,1st Tm,,,Pro Football Writers
1971,1st Tm,,,Newspaper Ent. Assoc.
Year,Tm,Level,Pos,Voters
1971,1st Tm,,,Pro Football Weekly
1972,1st Tm,All-Conf.,,Associated Press
1972,1st Tm,All-Conf.,,Sporting News
1972,1st Tm,All-Conf.,,UPI
1972,2nd Tm,,DT,Associated Press
1972,2nd Tm,,,Pro Football Writers
1972,2nd Tm,,,Newspaper Ent. Assoc.
1973,1st Tm,All-Conf.,,Associated Press
1973,1st Tm,All-Conf.,,Pro Football Weekly
1973,1st Tm,All-Conf.,,Sporting News
1973,1st Tm,All-Conf.,,UPI
1973,1st Tm,,DT,Associated Press
1973,1st Tm,,,Pro Football Writers
1973,1st Tm,,DE,Newspaper Ent. Assoc.
1973,1st Tm,,,Pro Football Weekly
1974,1st Tm,All-Conf.,,Associated Press
1974,1st Tm,All-Conf.,,Pro Football Weekly
1974,1st Tm,All-Conf.,,Sporting News
1974,1st Tm,All-Conf.,,UPI
1974,1st Tm,,DT,Associated Press
1974,1st Tm,,,Pro Football Writers
1974,1st Tm,,,Newspaper Ent. Assoc.
1974,1st Tm,,,Pro Football Weekly
1975,1st Tm,All-Conf.,,Associated Press
1975,1st Tm,All-Conf.,,Pro Football Weekly
Year,Tm,Level,Pos,Voters
1975,1st Tm,All-Conf.,,Sporting News
1975,1st Tm,All-Conf.,,UPI
1975,1st Tm,,DT,Associated Press
1975,1st Tm,,,Pro Football Writers
1975,2nd Tm,,,Newspaper Ent. Assoc.
1975,1st Tm,,,Pro Football Weekly
1976,1st Tm,All-Conf.,,Associated Press
1976,1st Tm,All-Conf.,,Pro Football Weekly
1976,1st Tm,All-Conf.,,Sporting News
1976,1st Tm,All-Conf.,,UPI
1976,2nd Tm,,DT,Associated Press
1976,2nd Tm,,,Pro Football Writers
1976,2nd Tm,,,Newspaper Ent. Assoc.
1977,1st Tm,All-Conf.,,UPI
1980,1st Tm,All-Conf.,,Pro Football Weekly
1980,2nd Tm,All-Conf.,,UPI
