Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19
,Def Interceptions,Fumbles,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,Fmb,FR,Yds,FRTD,Sk,Sfty,AV,Awards
1967,22,MIN,NFL,LDT,14,11,0,0,0,0,0,3,0,0,8.5,0,8,AP DRoY-3
1968,23,MIN,NFL,RDT/LDT,14,14,0,0,0,0,0,2,0,0,11.0,0,11,PB
1969,24,MIN,NFL,RDT,14,14,0,15,1,15,0,1,0,0,9.0,0,23,"PB,AP-2"
1970,25,MIN,NFL,RDT,14,14,1,27,0,27,0,7,77,1,10.5,0,24,"PB,AP-1,AP MVP-3"
1971,26,MIN,NFL,RDT,14,14,0,0,0,0,0,3,8,0,9.0,2,21,"PB,AP-1,AP MVP-1,AP DPoY-1"
1972,27,MIN,NFL,RDT,14,14,0,0,0,0,0,0,0,0,6.0,0,11,"PB,AP-2"
1973,28,MIN,NFL,RDT,14,14,0,0,0,0,0,1,0,0,5.0,0,16,"PB,AP-1,AP DPoY-4"
1974,29,MIN,NFL,RDT,14,14,0,0,0,0,0,0,0,0,11.0,0,14,"PB,AP-1,AP DPoY-4"
1975,30,MIN,NFL,RDT,14,14,0,0,0,0,0,0,0,0,13.0,0,14,"PB,AP-1"
1976,31,MIN,NFL,RDT,14,14,0,0,0,0,0,1,1,0,18.0,0,13,"PB,AP-2"
1977,32,MIN,NFL,RDT,14,14,0,0,0,0,0,1,0,0,7.5,0,8,
1978,33,2TM,NFL,RDT,16,16,0,0,0,0,0,0,0,0,11.5,0,7,
1978,33,MIN,NFL,RDT,6,6,0,0,0,0,0,0,0,0,0.0,0,2,
1978,33,CHI,NFL,RDT,10,10,0,0,0,0,0,0,0,0,11.5,0,5,
1979,34,CHI,NFL,RDT,16,16,0,0,0,0,0,1,0,0,10.0,0,8,
1980,35,CHI,NFL,RDT,16,16,1,0,0,0,0,2,0,1,9.5,1,10,
1981,36,CHI,NFL,RDT,16,16,0,0,0,0,0,1,0,0,9.0,0,9,
15 Yrs,,218,215,2,42,1,27,0,23,86,2,148.5,3,197,,,,
17 Game Avg,,17,17,0,3,0,27,0,2,7,0,11.6,0,15,,,,
,,,,,,,,,,,,,,,,,,
MIN (12 Yrs),,160,157,1,42,1,27,0,19,86,1,108.5,2,165,,,,
CHI (4 Yrs),,58,58,1,0,0,0,0,4,0,1,40.0,1,32,,,,
