Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23
,Touchdowns,PAT,FG,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,RshTD,RecTD,PRTD,KRTD,FRTD,IntTD,OthTD,AllTD,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Awards
1969,24,MIN,NFL,RDT,14,14,0,0,0,0,0,1,0,1,0,0,0,0,0,6,0.4,"PB,AP-2"
1970,25,MIN,NFL,RDT,14,14,0,0,0,0,1,0,0,1,0,0,0,0,0,6,0.4,"PB,AP-1,AP MVP-3"
1971,26,MIN,NFL,RDT,14,14,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.3,"PB,AP-1,AP MVP-1,AP DPoY-1"
,,,,,,,,,,,,,,,,,,,,,,
1980,35,CHI,NFL,RDT,16,16,0,0,0,0,1,0,0,1,0,0,0,0,1,8,0.5,
15 Yrs,,218,215,0,0,0,0,2,1,0,3,0,0,0,0,3,24,0.1,,,,
17 Game Avg,,17,17,0,0,0,0,0,0,0,0,0,0,,,0,2,0.1,,,,
,,,,,,,,,,,,,,,,,,,,,,
MIN (12 Yrs),,160,157,0,0,0,0,1,1,0,2,0,0,0,0,2,16,0.1,,,,
CHI (4 Yrs),,58,58,0,0,0,0,1,0,0,1,0,0,0,0,1,8,0.1,,,,
