NumYrs,Players whose career was of similar quality and shape
3,"Roger Brown, Tommie Harris, Chandler Jones, Darrell Russell, Reggie White*, Earl Faison, Bryant Young*, Don Floyd, Richard Seymour*, Ndamukong Suh"
4,"J.J. Watt, Reggie White*, Roger Brown, Ndamukong Suh, Richard Seymour*, Aaron Donald, Tom Sestak, Joe Greene*, Kevin Williams, Tommie Harris"
5,"J.J. Watt, Reggie White*, Ndamukong Suh, Aaron Donald, Tom Sestak, Kevin Williams, Warren Sapp*, Joe Greene*, Keith Millard, Richard Seymour*"
6,"J.J. Watt, Kevin Williams, Joe Greene*, Haloti Ngata, Warren Sapp*, Ndamukong Suh, Richard Seymour*, Reggie White*, Jared Allen*, Aaron Donald"
7,"Aaron Donald, Kevin Williams, J.J. Watt, Warren Sapp*, Carl Eller*, Reggie White*, Ndamukong Suh, Haloti Ngata, Joe Greene*, Cortez Kennedy*"
8,"Aaron Donald, Carl Eller*, Warren Sapp*, Kevin Williams, J.J. Watt, Dan Hampton*, Reggie White*, Joe Greene*, Haloti Ngata, Bob Baumhower"
9,"Aaron Donald, Warren Sapp*, Carl Eller*, Reggie White*, Joe Greene*, Julius Peppers*, Kevin Williams, John Randle*, Bruce Smith*, Dan Hampton*"
10,"Carl Eller*, Warren Sapp*, Aaron Donald, Jason Taylor*, Reggie White*, Joe Greene*, Julius Peppers*, Dan Hampton*, Bruce Smith*, Kevin Williams"
11,"Carl Eller*, Warren Sapp*, Julius Peppers*, Jason Taylor*, Joe Greene*, Aaron Donald, Randy White*, Reggie White*, Bruce Smith*, Michael Strahan*"
12,"Carl Eller*, Warren Sapp*, Julius Peppers*, Bruce Smith*, Jason Taylor*, Joe Greene*, Randy White*, Reggie White*, Bob Lilly*, John Randle*"
13,"Carl Eller*, Warren Sapp*, Bruce Smith*, Julius Peppers*, Randy White*, Joe Greene*, Bob Lilly*, Michael Strahan*, Jason Taylor*, John Randle*"
14,"Carl Eller*, Bruce Smith*, Warren Sapp*, Bob Lilly*, Julius Peppers*, Merlin Olsen*, Michael Strahan*, Randy White*, Joe Greene*, John Randle*"
15,"Carl Eller*, Bruce Smith*, Merlin Olsen*, Warren Sapp*, Michael Strahan*, Julius Peppers*, Bob Lilly*, Randy White*, Joe Greene*, John Randle*"
Career,"Carl Eller*, Warren Sapp*, Julius Peppers*, Michael Strahan*, Bob Lilly*, Bruce Smith*, Merlin Olsen*, Randy White*, Joe Greene*, John Randle*"
