Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24
,Def Interceptions,Fumbles,,Tackles,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1985,23,SFO,NFL,WR,16,4,0,0,0,0,,,1,0,0,0,0.0,,,,,0,
1986,24,SFO,NFL,WR,16,15,0,0,0,0,,,2,3,0,0,0.0,,,,,0,"PB,AP-1,AP MVP-6,AP OPoY-3"
1987,25,SFO,NFL,WR,12,12,0,0,0,0,,,2,1,0,0,0.0,,,,,0,"PB,AP-1,AP MVP-2,AP OPoY-1"
1988,26,SFO,NFL,WR,16,16,0,0,0,0,,,2,1,0,0,0.0,,,,,0,"PB,AP-1"
,,,,,,,,,,,,,,,,,,,,,,,
1990,28,SFO,NFL,WR,16,16,0,0,0,0,,0,1,0,0,0,0.0,,,,,0,"PB,AP-1,AP MVP-7,AP OPoY-5"
1991,29,SFO,NFL,WR,16,16,0,0,0,0,,0,1,0,0,0,0.0,,,,,0,PB
1992,30,SFO,NFL,WR,16,16,0,0,0,0,,0,2,0,0,0,0.0,,,,,0,"PB,AP-1"
1993,31,SFO,NFL,WR,16,16,0,0,0,0,,0,3,1,0,0,0.0,,,,,0,"PB,AP-1,AP MVP-3,AP OPoY-1"
1994,32,SFO,NFL,WR,16,16,0,0,0,0,,0,1,0,0,0,0.0,0,0,0,,0,"PB,AP-1,AP MVP-3,AP OPoY-3"
1995,33,SFO,NFL,WR,16,16,0,0,0,0,,0,3,1,0,1,0.0,0,0,0,,0,"PB,AP-1,AP MVP-2,AP OPoY-3"
,,,,,,,,,,,,,,,,,,,,,,,
1998,36,SFO,NFL,WR,16,16,0,0,0,0,,0,2,0,0,0,0.0,0,0,0,,0,"PB,AP CPoY-4"
,,,,,,,,,,,,,,,,,,,,,,,
2000,38,SFO,NFL,WR,16,16,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,
2001,39,OAK,NFL,WR,16,15,0,0,0,0,0,0,1,1,0,0,0.0,,,,,0,
2002,40,OAK,NFL,WR,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,"PB,AP-2"
2003,41,OAK,NFL,WR,16,15,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,
20 Yrs,,303,284,0,0,0,0,0,0,27,10,0,1,0.0,0,0,0,0,0,,,,
17 Game Avg,,17,16,0,0,0,0,,,2,1,0,0,0.0,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
SFO (16 Yrs),,238,224,0,0,0,0,0,0,23,8,0,1,0.0,0,0,0,0,0,,,,
OAK (4 Yrs),,54,51,0,0,0,0,0,0,4,2,0,0,0.0,0,0,0,0,0,,,,
SEA (1 Yr),,11,9,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,
