Season,Age,Team,Lg,Pos,G,GS,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards
1986,24,SFO,NFL,WR,16,15,1,2,50.0,16,0,0.0,0,0.0,,,16,8.0,8.00,16.0,1.0,77.1,0,0,0.00,8.00,8.00,0,0,"PB,AP-1,AP MVP-6,AP OPoY-3"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,26,SFO,NFL,WR,16,16,1,3,33.3,14,0,0.0,1,33.3,,,14,4.7,-10.33,14.0,0.9,9.7,0,0,0.00,4.67,-10.33,0,0,"PB,AP-1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,33,SFO,NFL,WR,16,16,1,1,100.0,41,1,100.0,0,0.0,1,100.0,41,41.0,61.00,41.0,2.6,158.3,0,0,0.00,41.00,61.00,0,0,"PB,AP-1,AP MVP-2,AP OPoY-3"
1996,34,SFO,NFL,WR,16,16,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,"PB,AP-1,AP OPoY-5"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,37,SFO,NFL,WR,16,16,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
2000,38,SFO,NFL,WR,16,16,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,41,OAK,NFL,WR,16,15,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,
20 Yrs,,303,284,3,10,30.0,71,1,10.0,1,10.0,1,20.0,41,7.1,4.60,23.7,0.2,50.4,0,0,0.00,7.10,4.60,0,0,,,,
17 Game Avg,,17,16,0,1,30.0,4,0,10.0,0,10.0,,,,7.1,4.60,23.7,0.2,50.4,0,0,0.00,7.10,4.60,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFO (16 Yrs),,238,224,3,9,33.3,71,1,11.1,1,11.1,1,25.0,41,7.9,5.11,23.7,0.3,60.2,0,0,0.00,7.89,5.11,0,0,,,,
OAK (4 Yrs),,54,51,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,,,
SEA (1 Yr),,11,9,0,0,,0,0,,0,,0,,,,,,0.0,,0,0,,,,0,0,,,,
