Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24
,Touchdowns,PAT,FG,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,RshTD,RecTD,PRTD,KRTD,FRTD,IntTD,OthTD,AllTD,2PM,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Awards
1985,23,SFO,NFL,WR,16,4,1,3,0,0,0,0,0,4,,0,0,0,0,0,24,1.5,
1986,24,SFO,NFL,WR,16,15,1,15,0,0,0,0,0,16,,0,0,0,0,0,96,6.0,"PB,AP-1,AP MVP-6,AP OPoY-3"
1987,25,SFO,NFL,WR,12,12,1,22,0,0,0,0,0,23,,0,0,0,0,0,138,11.5,"PB,AP-1,AP MVP-2,AP OPoY-1"
1988,26,SFO,NFL,WR,16,16,1,9,0,0,0,0,0,10,,0,0,0,0,0,60,3.8,"PB,AP-1"
1989,27,SFO,NFL,WR,16,16,0,17,0,0,0,0,0,17,,0,0,0,0,0,102,6.4,"PB,AP-1,AP OPoY-2"
1990,28,SFO,NFL,WR,16,16,0,13,0,0,0,0,0,13,,0,0,0,0,0,78,4.9,"PB,AP-1,AP MVP-7,AP OPoY-5"
1991,29,SFO,NFL,WR,16,16,0,14,0,0,0,0,0,14,,0,0,0,0,0,84,5.3,PB
1992,30,SFO,NFL,WR,16,16,1,10,0,0,0,0,0,11,,0,0,0,0,0,66,4.1,"PB,AP-1"
1993,31,SFO,NFL,WR,16,16,1,15,0,0,0,0,0,16,,0,0,0,0,0,96,6.0,"PB,AP-1,AP MVP-3,AP OPoY-1"
1994,32,SFO,NFL,WR,16,16,2,13,0,0,0,0,0,15,1,0,0,0,0,0,92,5.8,"PB,AP-1,AP MVP-3,AP OPoY-3"
1995,33,SFO,NFL,WR,16,16,1,15,0,0,1,0,0,17,1,0,0,0,0,0,104,6.5,"PB,AP-1,AP MVP-2,AP OPoY-3"
1996,34,SFO,NFL,WR,16,16,1,8,0,0,0,0,0,9,0,0,0,0,0,0,54,3.4,"PB,AP-1,AP OPoY-5"
1997,35,SFO,NFL,WR,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,3.0,
1998,36,SFO,NFL,WR,16,16,0,9,0,0,0,0,0,9,2,0,0,0,0,0,58,3.6,"PB,AP CPoY-4"
1999,37,SFO,NFL,WR,16,16,0,5,0,0,0,0,0,5,0,0,0,0,0,0,30,1.9,
2000,38,SFO,NFL,WR,16,16,0,7,0,0,0,0,0,7,0,0,0,0,0,0,42,2.6,
2001,39,OAK,NFL,WR,16,15,0,9,0,0,0,0,0,9,0,0,0,0,0,0,54,3.4,
2002,40,OAK,NFL,WR,16,16,0,7,0,0,0,0,0,7,0,0,0,0,0,0,42,2.6,"PB,AP-2"
2003,41,OAK,NFL,WR,16,15,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,0.8,
2004,42,2TM,NFL,WR,17,14,0,3,0,0,0,0,0,3,0,0,0,0,0,0,18,1.1,
2004,42,SEA,NFL,WR,11,9,0,3,0,0,0,0,0,3,0,0,0,0,0,0,18,1.6,
,Touchdowns,PAT,FG,,,,,,,,,,,,,,,,,,,,
,Pos,G,GS,RshTD,RecTD,PRTD,KRTD,FRTD,IntTD,OthTD,AllTD,2PM,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Awards,,,
20 Yrs,,303,284,10,197,0,0,1,0,0,208,4,0,0,0,0,0,1256,4.1,,,,
17 Game Avg,,17,16,1,11,0,0,0,0,0,12,,0,0,0,0,0,70,4.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,
SFO (16 Yrs),,238,224,10,176,0,0,1,0,0,187,4,0,0,0,0,0,1130,4.7,,,,
OAK (4 Yrs),,54,51,0,18,0,0,0,0,0,18,0,0,0,0,0,0,108,2.0,,,,
SEA (1 Yr),,11,9,0,3,0,0,0,0,0,3,0,0,0,0,0,0,18,1.6,,,,
