NumYrs,Players whose career was of similar quality and shape
3,"Michael Thomas, DeSean Jackson, A.J. Green, Gene Washington, John Jefferson, Bob Hayes*, Cris Collinsworth, Odell Beckham, Percy Harvin, Isaac Curtis"
4,"Michael Thomas, Bob Hayes*, Nat Moore, Lance Alworth*, Steve Largent*, Gene Washington, Randy Moss*, A.J. Green, Cris Collinsworth, John Jefferson"
5,"Bob Hayes*, Randy Moss*, Lance Alworth*, Torry Holt, Michael Thomas, Julio Jones, A.J. Green, Cris Collinsworth, Nat Moore, Gary Collins"
6,"Bob Hayes*, Lance Alworth*, Randy Moss*, Julio Jones, Torry Holt, Sterling Sharpe*, Marvin Harrison*, Steve Largent*, Cris Collinsworth, Chad Johnson"
7,"Bob Hayes*, Lance Alworth*, Julio Jones, Randy Moss*, Torry Holt, Chad Johnson, Sterling Sharpe*, Terrell Owens*, Marvin Harrison*, James Lofton*"
8,"Julio Jones, Lance Alworth*, Randy Moss*, Marvin Harrison*, Torry Holt, Terrell Owens*, Reggie Wayne, Bob Hayes*, Antonio Brown, Roddy White"
9,"Marvin Harrison*, Julio Jones, Lance Alworth*, Reggie Wayne, Torry Holt, Terrell Owens*, Paul Warfield*, Randy Moss*, Antonio Brown, Rod Smith"
10,"Marvin Harrison*, Randy Moss*, Reggie Wayne, Paul Warfield*, Lance Alworth*, Julio Jones, Torry Holt, Terrell Owens*, Michael Irvin*, Rod Smith"
11,"Marvin Harrison*, Randy Moss*, Reggie Wayne, Michael Irvin*, Paul Warfield*, Terrell Owens*, Torry Holt, Julio Jones, Rod Smith, Lance Alworth*"
12,"Randy Moss*, Marvin Harrison*, Terrell Owens*, Reggie Wayne, Michael Irvin*, Paul Warfield*, Rod Smith, Torry Holt, Julio Jones, Steve Largent*"
13,"Marvin Harrison*, Randy Moss*, Terrell Owens*, Reggie Wayne, Paul Warfield*, Michael Irvin*, Rod Smith, Torry Holt, Julio Jones, Lance Alworth*"
14,"Marvin Harrison*, Randy Moss*, Terrell Owens*, Reggie Wayne, Paul Warfield*, Michael Irvin*, Steve Largent*, Rod Smith, Torry Holt, Julio Jones"
15,"Marvin Harrison*, Randy Moss*, Terrell Owens*, Reggie Wayne, Paul Warfield*, Michael Irvin*, Steve Largent*, James Lofton*, Rod Smith, Isaac Bruce*"
16,"Marvin Harrison*, Randy Moss*, Terrell Owens*, Reggie Wayne, Paul Warfield*, Michael Irvin*, Steve Largent*, James Lofton*, Rod Smith, Tim Brown*"
17,"Marvin Harrison*, Randy Moss*, Terrell Owens*, Reggie Wayne, Paul Warfield*, Michael Irvin*, Steve Largent*, James Lofton*, Rod Smith, Tim Brown*"
18,"Marvin Harrison*, Randy Moss*, Terrell Owens*, Reggie Wayne, Paul Warfield*, Michael Irvin*, Steve Largent*, James Lofton*, Rod Smith, Tim Brown*"
19,"Marvin Harrison*, Randy Moss*, Terrell Owens*, Reggie Wayne, Paul Warfield*, Michael Irvin*, Steve Largent*, James Lofton*, Rod Smith, Tim Brown*"
20,"Marvin Harrison*, Randy Moss*, Terrell Owens*, Reggie Wayne, Paul Warfield*, Michael Irvin*, Steve Largent*, James Lofton*, Rod Smith, Tim Brown*"
Career,"Marvin Harrison*, Randy Moss*, Terrell Owens*, Reggie Wayne, Paul Warfield*, Michael Irvin*, Steve Largent*, James Lofton*, Rod Smith, Tim Brown*"
