Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31
,Rushing,Receiving,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Drop,Drop%,Int,Rat,Awards
2018,35,GNB,NFL,QB,16,16,43,269,20,256,6.0,13,0.3,1,43.0,0,0,0,0,0,,0,,,0,0,,0,,PB
2019,36,GNB,NFL,QB,16,16,46,183,9,155,3.4,28,0.6,0,,0,0,0,0,0,,0,,,0,0,,0,,PB
2020,37,GNB,NFL,QB,16,16,38,149,15,143,3.8,6,0.2,0,,1,1,-6,0,-4,-4.0,-2,-2.0,-4.0,0,0,0.0,0,79.2,"PB,AP-1,AP MVP-1,AP OPoY-2"
2021,38,GNB,NFL,QB,16,16,33,101,10,84,2.5,17,0.5,0,,1,1,-4,0,-4,-4.0,0,0.0,-4.0,0,0,0.0,0,79.2,"PB,AP-1,AP MVP-1,AP OPoY-4"
2022,39,GNB,NFL,QB,17,17,34,94,9,82,2.4,12,0.4,0,,0,0,0,0,0,,0,,,0,0,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,41,NYJ,NFL,QB,17,17,22,107,7,102,4.6,5,0.2,1,22.0,0,0,0,0,0,,0,,,0,0,,0,,AP CPoY-7
7 Yrs,,99,99,216,903,70,822,3.8,81,0.4,2,108.0,2,2,-10,0,-8,-4.0,-2,-1.0,-4.0,0,0,0.0,0,79.2,,,,
17 Game Avg,,17,17,37,155,12,141,3.8,14,0.4,0,108.0,0,0,-2,0,-1,-4.0,0,-1.0,-4.0,0,0,0.0,0,79.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNB (5 Yrs),,81,81,194,796,63,720,3.7,76,0.4,1,194.0,2,2,-10,0,-8,-4.0,-2,-1.0,-4.0,0,0,0.0,0,79.2,,,,
NYJ (2 Yrs),,18,18,22,107,7,102,4.6,5,0.2,1,22.0,0,0,0,0,0,,0,,,0,0,,0,,,,,
