Year,Tm,Level,Pos,Voters
2010,2nd Tm,,QB,Pro Football Focus
2011,1st Tm,All-Conf.,QB,Pro Football Writers
2011,1st Tm,,QB,Associated Press
2011,1st Tm,,QB,Pro Football Writers
2011,1st Tm,,QB,Pro Football Focus
2011,1st Tm,,QB,Sporting News
2012,1st Tm,All-Conf.,QB,Pro Football Writers
2012,2nd Tm,,QB,Associated Press
2012,2nd Tm,,QB,Pro Football Focus
2014,1st Tm,All-Conf.,QB,Pro Football Writers
2014,1st Tm,,QB,Associated Press
2014,1st Tm,,QB,Pro Football Writers
2014,1st Tm,,QB,Pro Football Focus
2014,1st Tm,,QB,Sporting News
2020,1st Tm,All-Conf.,QB,Pro Football Writers
2020,1st Tm,,QB,Associated Press
2020,1st Tm,,QB,Pro Football Writers
2020,1st Tm,,QB,Pro Football Focus
2021,1st Tm,All-Conf.,QB,Pro Football Writers
2021,1st Tm,,QB,Associated Press
2021,1st Tm,,QB,Pro Football Writers
2021,1st Tm,,QB,Sporting News
