Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Def Interceptions,Fumbles,,Tackles,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
2005,22,GNB,NFL,QB,3,0,0,0,0,0,0,0,2,0,0,0,0.0,,,,,,0,
2006,23,GNB,NFL,QB,2,0,0,0,0,0,0,0,1,0,0,0,0.0,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,
2008,25,GNB,NFL,QB,16,16,0,0,0,0,0,0,10,5,-22,0,0.0,0,0,0,0,0,0,
2009,26,GNB,NFL,QB,16,16,0,0,0,0,0,0,10,4,-8,0,0.0,0,0,0,0,0,0,PB
2010,27,GNB,NFL,QB,15,15,0,0,0,0,0,0,4,1,-2,0,0.0,0,0,0,0,0,0,AP OPoY-5
2011,28,GNB,NFL,QB,15,15,0,0,0,0,0,0,4,2,0,0,0.0,0,0,0,0,0,0,"PB,AP-1,AP MVP-1,AP OPoY-2"
2012,29,GNB,NFL,QB,16,16,0,0,0,0,0,0,5,1,0,0,0.0,0,0,0,0,0,0,"PB,AP-2,AP OPoY-3"
2013,30,GNB,NFL,QB,9,9,0,0,0,0,0,0,4,1,-6,0,0.0,0,0,0,,,0,
2014,31,GNB,NFL,QB,16,16,0,0,0,0,0,0,10,5,-16,0,0.0,0,0,0,0,0,0,"PB,AP-1,AP MVP-1,AP OPoY-2"
2015,32,GNB,NFL,QB,16,16,0,0,0,0,0,0,8,3,0,0,0.0,0,0,0,0,0,0,PB
2016,33,GNB,NFL,QB,16,16,0,0,0,0,0,0,8,1,-3,0,0.0,0,0,0,0,0,0,"PB,AP MVP-5,AP OPoY-2"
2017,34,GNB,NFL,QB,7,7,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
2018,35,GNB,NFL,QB,16,16,0,0,0,0,0,0,6,1,0,0,0.0,0,0,0,0,0,0,PB
2019,36,GNB,NFL,QB,16,16,0,0,0,0,0,0,4,0,-5,0,0.0,0,0,0,0,0,0,PB
2020,37,GNB,NFL,QB,16,16,0,0,0,0,0,0,4,1,-13,0,0.0,0,0,0,0,0,0,"PB,AP-1,AP MVP-1,AP OPoY-2"
2021,38,GNB,NFL,QB,16,16,0,0,0,0,0,0,3,2,-2,0,0.0,0,0,0,0,0,0,"PB,AP-1,AP MVP-1,AP OPoY-4"
2022,39,GNB,NFL,QB,17,17,0,0,0,0,0,0,8,0,11,0,0.0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,
2024,41,NYJ,NFL,QB,17,17,0,0,0,0,0,0,5,3,0,0,0.0,0,0,0,0,0,0,AP CPoY-7
,Def Interceptions,Fumbles,,Tackles,,,,,,,,,,,,,,,,,,,,
,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,,,
20 Yrs,,248,241,0,0,0,0,0,0,97,31,-66,0,0.0,0,0,0,0,0,0,,,,
17 Game Avg,,17,17,0,0,0,0,0,0,7,2,-5,0,0.0,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
GNB (18 Yrs),,230,223,0,0,0,0,0,0,92,28,-66,0,0.0,0,0,0,0,0,0,,,,
NYJ (2 Yrs),,18,18,0,0,0,0,0,0,5,3,0,0,0.0,0,0,0,0,0,0,,,,
