Year,Age,G,FantPos,FantPt,VBD,PosRank,OvRank,
2005,22,3,QB,-3,,80,,All 2005 Games
2006,23,2,QB,1,,64,,All 2006 Games
2007,24,2,QB,16,,60,,All 2007 Games
2008,25,16,QB,288,84,2,11,All 2008 Games
2009,26,16,QB,343,115,1,4,All 2009 Games
2010,27,15,QB,304,75,2,17,All 2010 Games
2011,28,15,QB,397,175,1,1,All 2011 Games
2012,29,16,QB,344,93,2,11,All 2012 Games
2013,30,9,QB,169,,22,,All 2013 Games
2014,31,16,QB,354,89,1,12,All 2014 Games
2015,32,16,QB,301,17,7,53,All 2015 Games
2016,33,16,QB,380,119,1,3,All 2016 Games
2017,34,7,QB,130,,29,,All 2017 Games
2018,35,16,QB,313,30,6,44,All 2018 Games
2019,36,16,QB,278,15,9,56,All 2019 Games
2020,37,16,QB,382,100,2,8,All 2020 Games
2021,38,16,QB,332,60,5,18,All 2021 Games
2022,39,17,QB,239,,13,74,All 2022 Games
2023,40,1,QB,,,77,,All 2023 Games
2024,41,17,QB,257,,15,77,All 2024 Games
,,,,4825,,,,Career Summary
