Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29
,Passing,Rushing,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Team,,Opp,Result,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Rate,Sk,Yds,Sk%,NY/A,ANY/A,Att,Yds,TD,Lng,Y/A,Fmb
2025-01-05,NYJ,,MIA,W 32-20,23,36,63.9,274,4,11.1,1,2.8,43,7.6,8.58,11.9,112.5,3,17,7.69,6.59,7.49,0,0,0,0,,0
2024-12-29,NYJ,@,BUF,L 14-40,12,18,66.7,112,0,0.0,2,11.1,28,6.2,1.22,9.3,44.0,4,26,18.18,3.91,-0.18,0,0,0,0,,0
2024-12-22,NYJ,,LAR,L 9-19,28,42,66.7,256,1,2.4,0,0.0,20,6.1,6.57,9.1,91.0,1,10,2.33,5.72,6.19,1,6,0,6,6.0,1
2024-12-15,NYJ,@,JAX,W 32-25,16,30,53.3,289,3,10.0,0,0.0,71,9.6,11.63,18.1,120.0,1,14,3.23,8.87,10.81,6,45,0,18,7.5,0
2024-12-08,NYJ,@,MIA,L 26-32 (OT),27,39,69.2,339,1,2.6,0,0.0,42,8.7,9.21,12.6,104.5,3,20,7.14,7.60,8.07,0,0,0,0,,0
2024-12-01,NYJ,,SEA,L 21-26,21,39,53.8,185,2,5.1,1,2.6,24,4.7,4.62,8.8,73.1,2,16,4.88,4.12,4.00,2,6,0,7,3.0,0
2024-11-17,NYJ,,IND,L 27-28,22,29,75.9,184,2,6.9,0,0.0,29,6.3,7.72,8.4,114.7,3,22,9.38,5.06,6.31,1,7,0,7,7.0,1
2024-11-10,NYJ,@,ARI,L 6-31,22,35,62.9,151,0,0.0,0,0.0,15,4.3,4.31,6.9,72.4,3,23,7.89,3.37,3.37,0,0,0,0,,1
2024-10-31,NYJ,,HOU,W 21-13,22,32,68.8,211,3,9.4,0,0.0,37,6.6,8.47,9.6,118.1,2,18,5.88,5.68,7.44,1,-1,0,0,-1.0,0
2024-10-27,NYJ,@,NWE,L 22-25,17,28,60.7,233,2,7.1,0,0.0,35,8.3,9.75,13.7,111.2,1,9,3.45,7.72,9.10,0,0,0,0,,0
2024-10-20,NYJ,@,PIT,L 15-37,24,39,61.5,276,1,2.6,2,5.1,57,7.1,5.28,11.5,70.0,1,7,2.50,6.73,4.98,0,0,0,0,,0
2024-10-14,NYJ,,BUF,L 20-23,23,35,65.7,294,2,5.7,1,2.9,52,8.4,8.26,12.8,99.0,3,22,7.89,7.16,7.03,0,0,0,0,,1
2024-10-06,NYJ,@,MIN,L 17-23,29,54,53.7,244,2,3.7,3,5.6,25,4.5,2.76,8.4,54.9,3,26,5.26,3.82,2.16,0,0,0,0,,1
2024-09-29,NYJ,,DEN,L 9-10,24,42,57.1,225,0,0.0,0,0.0,25,5.4,5.36,9.4,72.0,5,41,10.64,3.91,3.91,5,26,0,14,5.2,0
2024-09-19,NYJ,,NWE,W 24-3,27,35,77.1,281,2,5.7,0,0.0,27,8.0,9.17,10.4,118.9,2,14,5.41,7.22,8.30,3,18,0,11,6.0,0
2024-09-15,NYJ,@,TEN,W 24-17,18,30,60.0,176,2,6.7,0,0.0,26,5.9,7.20,9.8,98.7,2,12,6.25,5.13,6.38,2,1,0,2,0.5,0
2024-09-09,NYJ,@,SFO,L 19-32,13,21,61.9,167,1,4.8,1,4.8,36,8.0,6.76,12.8,82.8,1,5,4.55,7.36,6.23,1,-1,0,-1,-1.0,0
