Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35,Column_36,Column_37,Column_38,Column_39,Column_40,Column_41,Column_42
,Air Yards,Accuracy,Pressure,RPO,PlayAction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt,PassYds,Awards
2018,35,GNB,NFL,QB,16,16,372,597,5237,8.8,2308,6.2,3.9,2134,5.7,0,48,2,27,4.9,106,19.4,,,2.5,153,90,38,177,26.0,34,8.3,,,,,,,,,PB
2019,36,GNB,NFL,QB,16,16,353,569,5005,8.8,1993,5.6,3.5,2009,5.7,3,31,1,24,4.5,114,21.2,401,74.7,2.6,154,57,45,138,21.9,26,7.8,32,107,30,107,0,0,124,966,PB
2020,37,GNB,NFL,QB,16,16,372,526,4135,7.9,2051,5.5,3.9,2248,6.0,3,23,3,27,5.4,69,13.8,406,81.2,2.5,168,33,28,81,14.2,24,6.2,42,335,39,323,3,12,145,1210,"PB,AP-1,AP MVP-1,AP OPoY-2"
2021,38,GNB,NFL,QB,16,16,366,531,4099,7.7,1947,5.3,3.7,2168,5.9,8,18,3,13,2.5,93,18.2,394,77.3,2.3,135,59,40,129,22.3,17,6.5,30,200,30,200,0,0,107,798,"PB,AP-1,AP MVP-1,AP OPoY-4"
2022,39,GNB,NFL,QB,17,17,350,542,4341,8.0,1816,5.2,3.4,1879,5.4,8,25,2,40,7.8,76,14.8,415,80.6,2.4,136,37,39,108,18.4,13,7.8,62,417,58,413,1,4,136,994,
2023,40,NYJ,NFL,QB,1,1,0,1,17,17.0,0,,0.0,0,,0,1,0,0,,0,,0,,3.2,0,1,1,3,150.0,0,,0,0,0,0,0,0,0,0,
2024,41,NYJ,NFL,QB,17,17,368,584,3996,6.8,1778,4.8,3.0,2119,5.8,13,16,0,39,6.9,98,17.3,429,75.5,2.3,141,35,52,127,19.8,16,6.4,87,723,85,715,1,8,112,733,AP CPoY-7
7 Yrs,,99,99,2181,3350,26830,8.0,11893,5.5,3.6,12557,5.8,35,162,11,170,5.4,556,17.5,2045,64.4,2.5,887,312,243,763,20.7,130,7.3,253,1782,242,1758,5,24,624,4701,,,,
17 Game Avg,,17,17,375,575,4607,8.0,2042,5.5,3.6,2156,5.8,6,28,2,29,5.4,95,17.5,,,2.5,152,54,42,131,20.7,22,7.3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNB (5 Yrs),,81,81,1813,2765,22817,8.3,10115,5.6,3.7,10438,5.8,22,145,11,131,5.0,458,17.6,1616,61.9,2.5,746,276,190,633,20.8,114,7.4,166,1059,157,1043,4,16,512,3968,,,,
NYJ (2 Yrs),,18,18,368,585,4013,6.9,1778,4.8,3.0,2119,5.8,13,17,0,39,6.9,98,17.3,429,75.5,2.8,141,36,53,130,20.2,16,6.4,87,723,85,715,1,8,112,733,,,,
