Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Touchdowns,,PAT,FG,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,RshTD,RecTD,PRTD,KRTD,FRTD,IntTD,OthTD,AllTD,2PM,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Awards
2008,25,GNB,NFL,QB,16,16,4,0,0,0,0,0,0,4,0,,0,0,0,0,0,24,1.5,
2009,26,GNB,NFL,QB,16,16,5,0,0,0,0,0,0,5,0,,0,0,0,0,0,30,1.9,PB
2010,27,GNB,NFL,QB,15,15,4,0,0,0,0,0,0,4,0,,0,0,0,0,0,24,1.6,AP OPoY-5
2011,28,GNB,NFL,QB,15,15,3,0,0,0,0,0,0,3,0,,0,0,0,0,0,18,1.2,"PB,AP-1,AP MVP-1,AP OPoY-2"
2012,29,GNB,NFL,QB,16,16,2,0,0,0,0,0,0,2,0,,0,0,0,0,0,12,0.8,"PB,AP-2,AP OPoY-3"
,,,,,,,,,,,,,,,,,,,,,,,,
2014,31,GNB,NFL,QB,16,16,2,0,0,0,0,0,0,2,0,,0,0,0,0,0,12,0.8,"PB,AP-1,AP MVP-1,AP OPoY-2"
2015,32,GNB,NFL,QB,16,16,1,0,0,0,0,0,0,1,0,,0,0,0,0,0,6,0.4,PB
2016,33,GNB,NFL,QB,16,16,4,0,0,0,0,0,0,4,1,,0,0,0,0,0,26,1.6,"PB,AP MVP-5,AP OPoY-2"
,,,,,,,,,,,,,,,,,,,,,,,,
2018,35,GNB,NFL,QB,16,16,2,0,0,0,0,0,0,2,1,,0,0,0,0,0,14,0.9,PB
2019,36,GNB,NFL,QB,16,16,1,0,0,0,0,0,0,1,1,,0,0,0,0,0,8,0.5,PB
2020,37,GNB,NFL,QB,16,16,3,0,0,0,0,0,0,3,0,,0,0,0,0,0,18,1.1,"PB,AP-1,AP MVP-1,AP OPoY-2"
2021,38,GNB,NFL,QB,16,16,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,18,1.1,"PB,AP-1,AP MVP-1,AP OPoY-4"
2022,39,GNB,NFL,QB,17,17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.4,
20 Yrs,,248,241,35,0,0,0,0,0,0,35,3,0,0,0,0,0,0,216,0.9,,,,
17 Game Avg,,17,17,2,0,0,0,0,0,0,2,0,,0,0,0,0,0,15,0.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
GNB (18 Yrs),,230,223,35,0,0,0,0,0,0,35,3,0,0,0,0,0,0,216,0.9,,,,
NYJ (2 Yrs),,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
