NumYrs,Players whose career was of similar quality and shape
3,"Stan Humphries, Kyle Orton, Vince Ferragamo, Doug Flutie, Case Keenum, Marc Wilson, Joe Theismann, Bill Nelsen, Jim Harbaugh, Kirk Cousins"
4,"Roger Staubach*, Stan Humphries, Matt Cassel, Vince Ferragamo, Jeff Blake, Kordell Stewart, Ken Stabler*, Ron Jaworski, Gary Danielson, Dave Krieg"
5,"Roger Staubach*, Jeff Blake, Ken Stabler*, Matt Cassel, Kirk Cousins, Teddy Bridgewater, Gary Danielson, Steve McNair, Dave Krieg, Stan Humphries"
6,"Kurt Warner*, Roger Staubach*, Josh Allen, Bert Jones, Matt Cassel, Michael Vick, Tony Romo, Jeff Blake, Kirk Cousins, Ken Stabler*"
7,"Patrick Mahomes, Kurt Warner*, Michael Vick, Bert Jones, Randall Cunningham, Roger Staubach*, Greg Landry, Jeff Garcia, Josh Allen, Philip Rivers"
8,"Daunte Culpepper, Randall Cunningham, Andrew Luck, Bert Jones, Roger Staubach*, Patrick Mahomes, Kurt Warner*, Philip Rivers, Jeff Garcia, Trent Green"
9,"Randall Cunningham, Daunte Culpepper, Bert Jones, Tom Brady, Trent Green, Andrew Luck, Roger Staubach*, Dan Fouts*, Jeff Garcia, Philip Rivers"
10,"Dan Fouts*, Tom Brady, Randall Cunningham, Trent Green, Roger Staubach*, Philip Rivers, Daunte Culpepper, Cam Newton, Steve Young*, Steve McNair"
11,"Tom Brady, Cam Newton, Roger Staubach*, Dan Fouts*, Drew Brees, Philip Rivers, Trent Green, Steve Young*, Joe Montana*, Kurt Warner*"
12,"Tom Brady, Cam Newton, Russell Wilson, Philip Rivers, Drew Brees, Dan Fouts*, Ken Anderson, Joe Montana*, Roger Staubach*, Steve Young*"
13,"Tom Brady, Russell Wilson, Cam Newton, Dan Fouts*, Steve Young*, Joe Montana*, Philip Rivers, Drew Brees, Ken Anderson, Roger Staubach*"
14,"Tom Brady, Russell Wilson, Steve Young*, Joe Montana*, Cam Newton, Dan Fouts*, Philip Rivers, Drew Brees, Ken Anderson, Dan Marino*"
15,"Tom Brady, Russell Wilson, Philip Rivers, Joe Montana*, Matt Ryan, Drew Brees, Steve Young*, Dan Fouts*, Brett Favre*, Dan Marino*"
16,"Tom Brady, Matt Ryan, Philip Rivers, Drew Brees, Brett Favre*, Russell Wilson, Peyton Manning*, Joe Montana*, Dan Marino*, Dan Fouts*"
17,"Tom Brady, Matt Ryan, Philip Rivers, Drew Brees, Peyton Manning*, Brett Favre*, Dan Marino*, Fran Tarkenton*, John Elway*, Russell Wilson"
18,"Tom Brady, Philip Rivers, Matt Ryan, Peyton Manning*, Drew Brees, Brett Favre*, Dan Marino*, John Elway*, Fran Tarkenton*, Russell Wilson"
Career,"Philip Rivers, Matt Ryan, Peyton Manning*, Tom Brady, Brett Favre*, Dan Marino*, John Elway*, Drew Brees, Fran Tarkenton*, Russell Wilson"
