Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13
,Games,Off.,Def.,ST,,,,,,,,
Year,Age,Tm,Pos,No.,G,GS,Num,Pct,Num,Pct,Num,Pct
2012*,29,GNB,QB,12,16,16,1071,97%,0,0%,0,0%
2013,30,GNB,QB,12,9,9,582,92%,0,0%,0,0%
2014*+,31,GNB,QB,12,16,16,983,94%,0,0%,0,0%
2015*,32,GNB,QB,12,16,16,1137,99%,0,0%,0,0%
2016*,33,GNB,QB,12,16,16,1064,98%,0,0%,0,0%
2017,34,GNB,QB,12,7,7,417,87%,0,0%,0,0%
2018*,35,GNB,QB,12,16,16,1012,94%,0,0%,0,0%
2019*,36,GNB,QB,12,16,16,1057,98%,0,0%,1,0%
2020*+,37,GNB,QB,12,16,16,1017,98%,0,0%,0,0%
2021*+,38,GNB,QB,12,16,16,983,93%,0,0%,0,0%
2022,39,GNB,QB,12,17,17,1068,98%,0,0%,0,0%
2023,40,NYJ,QB,8,1,1,4,7%,0,0%,0,0%
2024,41,NYJ,QB,8,17,17,1030,97%,0,0%,0,0%
Career,,,,,,11425,,0,,1,,
11 yrs,GNB,,,161,161,10391,,0,,1,,
2 yrs,NYJ,,,18,18,1034,,0,,0,,
