Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Def Interceptions,Fumbles,,Tackles,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
2004,22,PIT,NFL,QB,14,13,0,0,0,0,0,0,2,0,-6,0,0.0,0,0,0,0,,0,AP ORoY-1
2005,23,PIT,NFL,QB,12,12,0,0,0,0,0,0,2,1,-1,0,0.0,0,0,0,0,,0,
2006,24,PIT,NFL,QB,15,15,0,0,0,0,0,0,5,0,-1,0,0.0,0,0,0,0,0,0,
2007,25,PIT,NFL,QB,15,15,0,0,0,0,0,0,9,4,-16,0,0.0,0,0,0,0,0,0,"PB,AP CPoY-3"
2008,26,PIT,NFL,QB,16,16,0,0,0,0,0,0,14,3,-5,0,0.0,0,0,0,0,0,0,
2009,27,PIT,NFL,QB,15,15,0,0,0,0,0,0,7,2,-6,0,0.0,0,0,0,0,0,0,
2010,28,PIT,NFL,QB,12,12,0,0,0,0,0,0,7,1,-12,0,0.0,0,0,0,0,0,0,
2011,29,PIT,NFL,QB,15,15,0,0,0,0,0,0,8,2,-10,0,0.0,0,0,0,0,0,0,PB
2012,30,PIT,NFL,QB,13,13,0,0,0,0,0,0,6,3,-8,0,0.0,0,0,0,0,0,0,
2013,31,PIT,NFL,QB,16,16,0,0,0,0,0,0,9,3,0,0,0.0,0,0,0,0,0,0,
2014,32,PIT,NFL,QB,16,16,0,0,0,0,0,0,9,2,-41,0,0.0,0,0,0,0,0,0,PB
2015,33,PIT,NFL,QB,12,11,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,PB
2016,34,PIT,NFL,QB,14,14,0,0,0,0,0,0,8,4,-1,0,0.0,0,0,0,0,0,0,PB
2017,35,PIT,NFL,QB,15,15,0,0,0,0,0,0,3,2,-10,0,0.0,0,0,0,0,0,0,PB
2018,36,PIT,NFL,QB,16,16,0,0,0,0,0,0,7,4,0,0,0.0,0,0,0,0,0,0,
2019,37,PIT,NFL,QB,2,2,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
2020,38,PIT,NFL,QB,15,15,0,0,0,0,0,0,5,2,-13,0,0.0,0,0,0,0,0,0,AP CPoY-2
2021,39,PIT,NFL,QB,16,16,0,0,0,0,0,0,11,5,7,0,0.0,0,0,0,0,0,0,
18 Yrs,,249,247,0,0,0,0,0,0,115,40,-123,0,0.0,0,0,0,0,0,0,,,,
17 Game Avg,,17,17,0,0,0,0,0,0,8,3,-8,0,0.0,0,0,0,0,,0,,,,
