Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20
,Punting,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Pnt,Yds,Y/P,RetYds,NetYds,NY/P,Lng,TB,TB%,Pnt20,In20%,Blck,Awards
2005,23,PIT,NFL,QB,12,12,2,72,36.0,0,52,26.0,39,1,50.0,1,50.0,0,
,,,,,,,,,,,,,,,,,,,
2010,28,PIT,NFL,QB,12,12,1,35,35.0,0,15,15.0,35,1,100.0,0,0.0,0,
,,,,,,,,,,,,,,,,,,,
2012,30,PIT,NFL,QB,13,13,1,26,26.0,0,26,26.0,26,0,0.0,1,100.0,0,
2013,31,PIT,NFL,QB,16,16,1,28,28.0,0,28,28.0,28,0,0.0,1,100.0,0,
,,,,,,,,,,,,,,,,,,,
2018,36,PIT,NFL,QB,16,16,1,27,27.0,18,9,9.0,27,0,0.0,0,0.0,0,
5 Yrs,,69,69,6,188,31.3,18,130,21.7,39,2,33.3,3,50.0,0,,,,
17 Game Avg,,17,17,1,46,31.3,4,32,21.7,39,0,33.3,1,50.0,0,,,,
