Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Touchdowns,,PAT,FG,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,RshTD,RecTD,PRTD,KRTD,FRTD,IntTD,OthTD,AllTD,2PM,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Awards
2004,22,PIT,NFL,QB,14,13,1,0,0,0,0,0,0,1,0,,0,0,0,0,0,6,0.4,AP ORoY-1
2005,23,PIT,NFL,QB,12,12,3,0,0,0,0,0,0,3,0,,0,0,0,0,0,18,1.5,
2006,24,PIT,NFL,QB,15,15,2,0,0,0,0,0,0,2,0,,0,0,0,0,0,12,0.8,
2007,25,PIT,NFL,QB,15,15,2,0,0,0,0,0,0,2,0,,0,0,0,0,0,12,0.8,"PB,AP CPoY-3"
2008,26,PIT,NFL,QB,16,16,2,0,0,0,0,0,0,2,0,,0,0,0,0,0,12,0.8,
2009,27,PIT,NFL,QB,15,15,2,0,0,0,0,0,0,2,0,,0,0,0,0,0,12,0.8,
2010,28,PIT,NFL,QB,12,12,2,0,0,0,0,0,0,2,0,,0,0,0,0,0,12,1.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2013,31,PIT,NFL,QB,16,16,1,0,0,0,0,0,0,1,0,,0,0,0,0,0,6,0.4,
,,,,,,,,,,,,,,,,,,,,,,,,
2016,34,PIT,NFL,QB,14,14,1,0,0,0,0,0,0,1,0,,0,0,0,0,0,6,0.4,PB
,,,,,,,,,,,,,,,,,,,,,,,,
2018,36,PIT,NFL,QB,16,16,3,0,0,0,0,0,0,3,0,,0,0,0,0,0,18,1.1,
,,,,,,,,,,,,,,,,,,,,,,,,
2021,39,PIT,NFL,QB,16,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.4,
18 Yrs,,249,247,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,120,0.5,,,,
17 Game Avg,,17,17,1,0,0,0,0,0,0,1,0,,0,0,0,0,0,8,0.5,,,,
