NumYrs,Players whose career was of similar quality and shape
3,"Jameis Winston, Fran Tarkenton*, Joe Flacco, Ryan Tannehill, Baker Mayfield, Andy Dalton, Carson Wentz, Marcus Mariota, Jim Kelly*, Jim Plunkett"
4,"Andy Dalton, Fran Tarkenton*, Ryan Tannehill, Baker Mayfield, Joe Flacco, Jameis Winston, Carson Wentz, Jim Kelly*, Marcus Mariota, Jim Plunkett"
5,"Andy Dalton, Ryan Tannehill, Jim Kelly*, Joe Flacco, Fran Tarkenton*, Jameis Winston, Derek Carr, Carson Wentz, Ken O'Brien, Jay Cutler"
6,"Andy Dalton, Fran Tarkenton*, Joe Flacco, Jim Kelly*, John Elway*, Carson Wentz, Derek Carr, Jim Zorn, Drew Bledsoe, Warren Moon*"
7,"Andy Dalton, Joe Flacco, Derek Carr, John Elway*, Jim Kelly*, Drew Bledsoe, Fran Tarkenton*, Jim Everett, Eli Manning, Warren Moon*"
8,"Andy Dalton, Derek Carr, Jim Kelly*, John Elway*, Drew Bledsoe, Joe Flacco, Ken O'Brien, Eli Manning, Warren Moon*, Fran Tarkenton*"
9,"Andy Dalton, Jim Kelly*, Joe Flacco, John Elway*, Warren Moon*, Derek Carr, Jay Cutler, Mark Brunell, John Hadl, Bob Griese*"
10,"Jim Kelly*, Joe Flacco, Andy Dalton, Warren Moon*, John Elway*, John Hadl, Jim Everett, Bob Griese*, Jay Cutler, Donovan McNabb"
11,"Jim Kelly*, Warren Moon*, John Elway*, Donovan McNabb, Eli Manning, Bob Griese*, Drew Bledsoe, Fran Tarkenton*, Matthew Stafford, John Hadl"
12,"Warren Moon*, Jim Kelly*, John Elway*, Eli Manning, Donovan McNabb, John Hadl, Bob Griese*, Drew Bledsoe, Fran Tarkenton*, Matthew Stafford"
13,"Eli Manning, Warren Moon*, John Elway*, Drew Bledsoe, Jim Kelly*, John Hadl, Bob Griese*, Fran Tarkenton*, Terry Bradshaw*, Donovan McNabb"
14,"Eli Manning, John Elway*, Warren Moon*, Fran Tarkenton*, John Hadl, Terry Bradshaw*, Drew Bledsoe, Donovan McNabb, Matthew Stafford, Carson Palmer"
15,"Eli Manning, John Elway*, Fran Tarkenton*, Warren Moon*, Dan Marino*, John Hadl, Terry Bradshaw*, Matthew Stafford, Drew Bledsoe, Brett Favre*"
16,"Eli Manning, John Elway*, Warren Moon*, Fran Tarkenton*, Dan Marino*, John Hadl, Brett Favre*, Terry Bradshaw*, Matthew Stafford, Drew Bledsoe"
17,"Eli Manning, John Elway*, Fran Tarkenton*, Dan Marino*, Warren Moon*, Brett Favre*, John Hadl, Terry Bradshaw*, Philip Rivers, Matthew Stafford"
18,"Eli Manning, Fran Tarkenton*, John Elway*, Dan Marino*, Warren Moon*, Brett Favre*, John Hadl, Terry Bradshaw*, Philip Rivers, Matthew Stafford"
Career,"Eli Manning, Fran Tarkenton*, John Elway*, Dan Marino*, Warren Moon*, John Hadl, Terry Bradshaw*, Brett Favre*, Philip Rivers, Matthew Stafford"
