Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13
,Games,Off.,Def.,ST,,,,,,,,
Year,Age,Tm,Pos,No.,G,GS,Num,Pct,Num,Pct,Num,Pct
2012,30,PIT,QB,7,13,13,834,96%,0,0%,0,0%
2013,31,PIT,QB,7,16,16,1052,100%,0,0%,0,0%
2014*,32,PIT,QB,7,16,16,1104,99%,0,0%,0,0%
2015*,33,PIT,QB,7,12,11,793,94%,0,0%,1,0%
2016*,34,PIT,QB,7,14,14,921,98%,0,0%,0,0%
2017*,35,PIT,QB,7,15,15,1036,99%,0,0%,0,0%
2018,36,PIT,QB,7,16,16,1086,97%,0,0%,0,0%
2019,37,PIT,QB,7,2,2,95,77%,0,0%,0,0%
2020,38,PIT,QB,7,15,15,1010,98%,0,0%,0,0%
2021,39,PIT,QB,7,16,16,1076,99%,0,0%,0,0%
Career,,,,,,9007,,0,,1,,
