Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32
,Receiving,Rushing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
2019,23,SFO,NFL,WR,15,11,81,57,802,32,329,5.8,473,8.3,7.5,7,8.1,9,11.1,1,109.2,14,159,5,105,7.5,54,3.9,2,7.0,
2020,24,SFO,NFL,WR,7,5,44,33,391,19,-7,-0.2,398,12.1,2.2,6,5.5,3,6.8,2,90.2,8,26,1,9,1.1,17,2.1,0,,
2021,25,SFO,NFL,WR,16,15,121,77,1405,51,637,8.3,768,10.0,8.4,13,5.9,10,8.3,4,106.2,59,365,21,181,3.1,184,3.1,9,6.6,"PB,AP-1"
2022,26,SFO,NFL,WR,13,12,94,56,632,25,139,2.5,493,8.8,4.3,12,4.7,9,9.6,3,73.5,42,232,8,127,3.0,105,2.5,3,14.0,
2023,27,SFO,NFL,WR,15,15,89,60,892,34,365,6.1,527,8.8,6.6,13,4.6,2,2.2,2,116.9,37,225,13,140,3.8,85,2.3,4,9.3,
2024,28,SFO,NFL,WR,15,15,81,51,670,28,249,4.9,421,8.3,6.6,8,6.4,6,7.4,1,96.2,42,136,5,67,1.6,69,1.6,1,42.0,
6 Yrs,,81,73,510,334,4792,189,1712,5.1,3080,9.2,6.4,59,5.7,39,7.6,13,99.6,202,1143,53,629,3.1,514,2.5,19,10.6,,,,
17 Game Avg,,17,15,107,70,1006,40,359,5.1,646,9.2,6.4,12,5.7,8,7.6,3,99.6,42,240,11,132,3.1,108,2.5,4,10.6,,,,
