Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Touchdowns,,PAT,FG,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,RshTD,RecTD,PRTD,KRTD,FRTD,IntTD,OthTD,AllTD,2PM,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Awards
2019,23,SFO,NFL,WR,15,11,3,3,0,0,0,0,0,6,1,,0,0,0,0,0,38,2.5,
2020,24,SFO,NFL,WR,7,5,0,1,0,0,0,0,0,1,0,,0,0,0,0,0,6,0.9,
2021,25,SFO,NFL,WR,16,15,8,6,0,0,0,0,0,14,0,0,0,0,0,0,0,84,5.3,"PB,AP-1"
2022,26,SFO,NFL,WR,13,12,3,2,0,0,0,0,0,5,0,0,0,0,0,0,0,30,2.3,
2023,27,SFO,NFL,WR,15,15,5,7,0,0,0,0,0,12,0,0,0,0,0,0,0,72,4.8,
2024,28,SFO,NFL,WR,15,15,1,3,0,0,0,0,0,4,0,0,0,0,0,0,0,24,1.6,
6 Yrs,,81,73,20,22,0,0,0,0,0,42,1,0,0,0,0,0,0,254,3.1,,,,
17 Game Avg,,17,15,4,5,0,0,0,0,0,9,0,,0,0,0,0,0,53,3.1,,,,
