Name,Role
Bill Arnsparger,"Defensive Coordinator, Defensive Coordinator/Asst. Head Coach, Defensive Coordinator/Linebackers, Defensive Line"
Monte Clark,"Offensive Coordinator, Offensive Line"
Dan Henning,Quarterbacks
Don McCafferty,Offensive Backfield
Bill McPeak,Offensive Coordinator
Chuck Noll,Defensive Backfield
John Sandusky,"Asst. HC/Offensive Line, Offensive Line"
Howard Schnellenberger,Offensive Coordinator
David Shula,"Quarterbacks, Wide Receivers, Wide Receivers/QB"
Chuck Studley,"Defensive Coordinator, Linebackers"
Charley Winner,Defensive Coordinator
