Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31
,Receiving,Rushing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Awards
2019,22,NYG,NFL,WR,14,9,84,48,740,32,551,11.5,189,3.9,14.1,5,9.6,2,2.4,4,98.3,0,0,0,0,,0,,0,
2020,23,NYG,NFL,WR,16,15,96,50,751,40,592,11.8,159,3.2,13.6,1,50.0,6,6.3,2,79.8,2,-1,0,-3,-1.5,2,1.0,0,
2021,24,NYG,NFL,WR,13,5,58,26,339,14,274,10.5,65,2.5,13.3,1,26.0,6,10.3,3,53.7,1,-13,0,-13,-13.0,0,0.0,0,
2022,25,NYG,NFL,WR,16,11,71,46,724,30,462,10.0,262,5.7,12.5,2,23.0,7,9.9,2,96.2,0,0,0,0,,0,,0,
2023,26,NYG,NFL,WR,17,13,79,50,770,29,472,9.4,298,6.0,12.2,5,10.0,3,3.8,2,101.8,0,0,0,0,,0,,0,
2024,27,NYG,NFL,WR,16,13,71,39,573,30,449,11.5,124,3.2,13.1,4,9.8,4,5.6,2,79.1,2,17,1,12,6.0,5,2.5,0,
6 Yrs,,92,66,459,259,3897,175,2800,10.8,1097,4.2,13.1,18,14.4,28,6.1,15,86.1,5,3,1,-4,-0.8,7,1.4,0,,,,
17 Game Avg,,17,12,85,48,720,32,517,10.8,203,4.2,13.1,3,14.4,5,6.1,3,86.1,1,1,0,-1,-0.8,1,1.4,0,,,,
