Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35
,Receiving,Rushing,Scrimmage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
2019,22,NYG,NFL,WR,14,9,84,48,740,15.4,8,32,48.8,55,3.4,52.9,57.1,8.8,0,0,0,0,,,,0.0,0.0,48,15.4,740,8,0,6,
2020,23,NYG,NFL,WR,16,15,96,50,751,15.0,3,40,49.0,41,3.1,46.9,52.1,7.8,2,-1,0,0,0.0,2,-0.5,-0.1,0.1,52,14.4,750,3,1,6,
2021,24,NYG,NFL,WR,13,5,58,26,339,13.0,2,14,31.0,42,2.0,26.1,44.8,5.8,1,-13,0,0,0.0,-13,-13.0,-1.0,0.1,27,12.1,326,2,1,2,
2022,25,NYG,NFL,WR,16,11,71,46,724,15.7,2,30,57.7,55,2.9,45.3,64.8,10.2,0,0,0,0,,,,0.0,0.0,46,15.7,724,2,2,7,
2023,26,NYG,NFL,WR,17,13,79,50,770,15.4,4,29,49.4,80,2.9,45.3,63.3,9.7,0,0,0,0,,,,0.0,0.0,50,15.4,770,4,0,6,
2024,27,NYG,NFL,WR,16,13,71,39,573,14.7,2,30,50.7,43,2.4,35.8,54.9,8.1,2,17,0,1,100.0,11,8.5,1.1,0.1,41,14.4,590,2,1,4,
6 Yrs,,92,66,459,259,3897,15.0,21,175,48.4,80,2.8,42.4,56.4,8.5,5,3,0,1,40.0,11,0.6,0.0,0.1,264,14.8,3900,21,5,31,,,,
17 Game Avg,,17,12,85,48,720,15.0,4,32,48.4,80,2.8,42.4,56.4,8.5,1,1,0,0,40.0,11,0.6,0.0,0.1,49,2.7,721,4,1,6,,,,
