Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Touchdowns,,PAT,FG,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,RshTD,RecTD,PRTD,KRTD,FRTD,IntTD,OthTD,AllTD,2PM,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Awards
2019,22,NYG,NFL,WR,14,9,0,8,0,0,0,0,0,8,0,,0,0,0,0,0,48,3.4,
2020,23,NYG,NFL,WR,16,15,0,3,0,0,0,0,0,3,0,,0,0,0,0,0,18,1.1,
2021,24,NYG,NFL,WR,13,5,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,0.9,
2022,25,NYG,NFL,WR,16,11,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,0.8,
2023,26,NYG,NFL,WR,17,13,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,24,1.4,
2024,27,NYG,NFL,WR,16,13,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,0.8,
6 Yrs,,92,66,0,21,0,0,0,0,0,21,0,0,0,0,0,0,0,126,1.4,,,,
17 Game Avg,,17,12,0,4,0,0,0,0,0,4,0,,0,0,0,0,0,23,1.4,,,,
