Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Def Interceptions,Fumbles,,Tackles,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,AV,Awards
1985,22,BUF,NFL,RDE,16,13,0,0,0,0,,,0,4,0,0,6.5,48,,,,0,7,
1986,23,BUF,NFL,RDE,16,15,0,0,0,0,,3,0,0,0,0,15.0,63,,,,0,7,
1987,24,BUF,NFL,RDE,12,12,0,0,0,0,,3,0,2,15,1,12.0,78,,,,0,17,"PB,AP-1,AP DPoY-2"
1988,25,BUF,NFL,RDE,12,12,0,0,0,0,,3,0,0,0,0,11.0,56,,,,1,15,"PB,AP-1,AP DPoY-4"
1989,26,BUF,NFL,RDE,16,16,0,0,0,0,,0,0,0,0,0,13.0,88,,,,0,15,"PB,AP-2,AP DPoY-5"
1990,27,BUF,NFL,RDE,16,16,0,0,0,0,,4,0,0,0,0,19.0,101,,,,0,17,"PB,AP-1,AP MVP-4,AP DPoY-1"
1991,28,BUF,NFL,RDE,5,5,0,0,0,0,,0,0,0,0,0,1.5,18,,,,0,2,
1992,29,BUF,NFL,RDE,15,15,0,0,0,0,,3,0,0,0,0,14.0,89,,,,0,14,"PB,AP-2,AP DPoY-5"
1993,30,BUF,NFL,RDE,16,16,1,0,0,0,,3,0,1,0,0,14.0,108,,,,0,18,"PB,AP-1,AP DPoY-3"
1994,31,BUF,NFL,RDE,15,15,1,0,0,0,,5,0,2,0,0,10.0,81,57,24,,0,14,"PB,AP-1,AP DPoY-7"
1995,32,BUF,NFL,RDE,15,15,0,0,0,0,,1,0,1,0,0,10.5,74,52,22,,0,17,"PB,AP-1"
1996,33,BUF,NFL,RDE,16,16,0,0,0,0,,5,0,1,0,0,13.5,90,69,21,,0,21,"PB,AP-1,AP DPoY-1"
1997,34,BUF,NFL,RDE,16,16,0,0,0,0,,0,0,0,0,0,14.0,65,49,16,,0,15,"PB,AP-1,AP DPoY-2"
1998,35,BUF,NFL,RDE,15,15,0,0,0,0,,2,0,2,18,0,10.0,50,35,15,,0,12,"PB,AP-2"
1999,36,BUF,NFL,RDE,16,16,0,0,0,0,2,3,0,1,0,0,7.0,45,31,14,5,0,10,
2000,37,WAS,NFL,RDE,16,16,0,0,0,0,2,5,0,0,0,0,10.0,57,48,9,13,1,9,
2001,38,WAS,NFL,RDE,14,14,0,0,0,0,2,3,0,1,0,0,5.0,42,31,11,7,0,7,
2002,39,WAS,NFL,RDE,16,16,0,0,0,0,1,0,0,0,0,0,9.0,49,37,12,11,0,8,
2003,40,WAS,NFL,LDE,16,8,0,0,0,0,0,0,0,0,0,0,5.0,22,17,5,5,0,4,
19 Yrs,,279,267,2,0,0,0,7,43,0,15,33,1,200.0,1224,426,149,41,2,229,,,,
17 Game Avg,,17,16,0,0,0,0,,,0,1,2,0,12.2,75,,,,0,14,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
BUF (15 Yrs),,217,213,2,0,0,0,2,35,0,14,33,1,171.0,1054,293,112,5,1,201,,,,
WAS (4 Yrs),,62,54,0,0,0,0,5,8,0,1,0,0,29.0,170,133,37,36,1,28,,,,
