Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24
,Touchdowns,PAT,FG,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,RshTD,RecTD,PRTD,KRTD,FRTD,IntTD,OthTD,AllTD,2PM,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Awards
1987,24,BUF,NFL,RDE,12,12,0,0,0,0,1,0,0,1,,0,0,0,0,0,6,0.5,"PB,AP-1,AP DPoY-2"
1988,25,BUF,NFL,RDE,12,12,0,0,0,0,0,0,0,0,,0,0,0,0,1,2,0.2,"PB,AP-1,AP DPoY-4"
,,,,,,,,,,,,,,,,,,,,,,,
2000,37,WAS,NFL,RDE,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.1,
19 Yrs,,279,267,0,0,0,0,1,0,0,1,0,0,0,0,0,2,10,0.0,,,,
17 Game Avg,,17,16,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
BUF (15 Yrs),,217,213,0,0,0,0,1,0,0,1,0,0,0,0,0,1,8,0.0,,,,
WAS (4 Yrs),,62,54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.0,,,,
