NumYrs,Players whose career was of similar quality and shape
3,"Haloti Ngata, Bryant Young*, Roger Brown, Cameron Jordan, Mike Reid, Richard Seymour*, John Henderson, Chandler Jones, Julius Peppers*, Bill Maas"
4,"Roger Brown, Richard Seymour*, Haloti Ngata, Kevin Williams, Leonard Marshall, Don Floyd, Bill Stanfill, Julius Peppers*, Earl Faison, Jared Allen*"
5,"Haloti Ngata, Myles Garrett, Julius Peppers*, Warren Sapp*, Kevin Williams, Mel Branch, Larry Eisenhauer, Richard Seymour*, Earl Faison, Tom Sestak"
6,"Warren Sapp*, Haloti Ngata, Ndamukong Suh, Kevin Williams, Richard Seymour*, Jared Allen*, Joe Greene*, Tom Sestak, Mark Gastineau, Julius Peppers*"
7,"John Randle*, Richard Seymour*, Deacon Jones*, Mark Gastineau, Warren Sapp*, Jared Allen*, Howie Long*, Kevin Williams, Jack Youngblood*, Julius Peppers*"
8,"John Randle*, Ndamukong Suh, Neil Smith, Deacon Jones*, Jared Allen*, Mark Gastineau, Julius Peppers*, Kevin Williams, Jack Youngblood*, Richard Dent*"
9,"Julius Peppers*, Jared Allen*, John Randle*, Haloti Ngata, Kevin Williams, Deacon Jones*, Warren Sapp*, Jack Youngblood*, Michael Strahan*, Jason Taylor*"
10,"Jack Youngblood*, Warren Sapp*, Julius Peppers*, Jared Allen*, Michael Strahan*, Deacon Jones*, Haloti Ngata, Jason Taylor*, Dan Hampton*, Randy White*"
11,"Julius Peppers*, Michael Strahan*, Jack Youngblood*, Randy White*, Jared Allen*, Warren Sapp*, Reggie White*, Jason Taylor*, Deacon Jones*, Aaron Donald"
12,"Julius Peppers*, Reggie White*, Michael Strahan*, Warren Sapp*, Jason Taylor*, Carl Eller*, Calais Campbell, Jack Youngblood*, Randy White*, Aaron Donald"
13,"Reggie White*, Julius Peppers*, Michael Strahan*, Jason Taylor*, Carl Eller*, Warren Sapp*, Randy White*, Calais Campbell, Jack Youngblood*, Alan Page*"
14,"Reggie White*, Michael Strahan*, Julius Peppers*, Carl Eller*, Warren Sapp*, Calais Campbell, Jason Taylor*, Jack Youngblood*, Randy White*, Alan Page*"
15,"Reggie White*, Michael Strahan*, Carl Eller*, Julius Peppers*, Alan Page*, Warren Sapp*, Calais Campbell, Jason Taylor*, Jack Youngblood*, Randy White*"
16,"Reggie White*, Michael Strahan*, Carl Eller*, Julius Peppers*, Alan Page*, Calais Campbell, Warren Sapp*, Jason Taylor*, Jack Youngblood*, Randy White*"
17,"Reggie White*, Carl Eller*, Michael Strahan*, Julius Peppers*, Alan Page*, Calais Campbell, Warren Sapp*, Jason Taylor*, Jack Youngblood*, Randy White*"
18,"Reggie White*, Carl Eller*, Michael Strahan*, Julius Peppers*, Alan Page*, Calais Campbell, Warren Sapp*, Jason Taylor*, Jack Youngblood*, Randy White*"
19,"Reggie White*, Carl Eller*, Michael Strahan*, Julius Peppers*, Alan Page*, Calais Campbell, Warren Sapp*, Jason Taylor*, Jack Youngblood*, Randy White*"
Career,"Reggie White*, Carl Eller*, Michael Strahan*, Julius Peppers*, Alan Page*, Calais Campbell, Warren Sapp*, Jason Taylor*, Jack Youngblood*, Randy White*"
