Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20
,,,,Totals,League Averages,Relative,,,,,,,,,,,,,
Year,G,G plyf,Pos,Home,Visitor,Home%,HWin%,Tot,Yds,Pen/G,Yds/G,Home%,HWin%,Pen/G,Yds/G,Home%,HWin%,Pen/G,Yds/G
2000,15,0,Back Judge,82,74,52.56%,73.33%,156,1361,10.40,90.73,49.59%,56.76%,12.62,104.77,+2.97%,-56.03%,-2.22,-14.04
2001,14,1,Back Judge,62,82,43.06%,57.14%,144,1113,10.29,79.50,47.70%,55.21%,11.49,96.97,-4.64%,-54.64%,-1.20,-17.47
2002,16,1,Back Judge,101,85,54.30%,31.25%,186,1470,11.63,91.88,48.45%,58.80%,12.94,107.75,+5.85%,-58.49%,-1.31,-15.87
2003,16,1,Back Judge,137,138,49.82%,56.25%,275,2318,17.19,144.88,47.25%,61.42%,13.07,108.01,+2.57%,-60.86%,+4.12,+36.87
2004,17,2*,Back Judge,115,110,51.11%,64.71%,225,1724,13.24,101.41,47.50%,56.55%,13.81,112.82,+3.61%,-55.90%,-0.57,-11.41
2005,16,1,Back Judge,120,132,47.62%,37.50%,252,2205,15.75,137.81,47.50%,58.05%,14.38,115.07,+.12%,-57.67%,+1.37,+22.74
2006,15,0,Back Judge,104,100,50.98%,60.00%,204,1618,13.60,107.87,48.19%,54.31%,11.81,97.59,+2.79%,-53.71%,+1.79,+10.28
2007,18,1,Back Judge,106,98,51.96%,38.89%,204,1533,11.33,85.17,47.16%,57.30%,11.40,89.79,+4.80%,-56.91%,-0.07,-4.62
2008,16,1,Back Judge,82,86,48.81%,43.75%,168,1324,10.50,82.75,50.36%,56.93%,11.30,90.08,-1.55%,-56.49%,-0.80,-7.33
2009,16,0,Back Judge,102,114,47.22%,43.75%,216,1632,13.50,102.00,49.08%,57.68%,11.87,97.57,-1.86%,-57.24%,+1.63,+4.43
2010,16,1,Back Judge,105,108,49.30%,75.00%,213,1928,13.31,120.50,51.13%,55.06%,12.06,101.33,-1.83%,-54.31%,+1.25,+19.17
2011,15,1*,Back Judge,106,130,44.92%,53.33%,236,1928,15.73,128.53,48.89%,57.68%,12.65,106.76,-3.97%,-57.15%,+3.08,+21.77
2012,13,1,Back Judge,77,67,53.47%,53.85%,144,1228,11.08,94.46,48.65%,56.93%,12.44,105.25,+4.82%,-56.39%,-1.36,-10.79
2013,17,0,Back Judge,113,124,47.68%,76.47%,237,1925,13.94,113.24,48.31%,59.93%,12.17,105.03,-0.63%,-59.17%,+1.77,+8.21
2014,18,1,Back Judge,125,123,50.40%,61.11%,248,2108,13.78,117.11,48.41%,57.30%,13.21,110.68,+1.99%,-56.69%,+.57,+6.43
2015,16,1,Back Judge,122,130,48.41%,62.50%,252,2126,15.75,132.88,49.16%,54.31%,13.75,117.11,-0.75%,-53.68%,+2.00,+15.77
2016,16,1,Back Judge,124,107,53.68%,62.50%,231,1885,14.44,117.81,48.68%,58.43%,13.33,114.94,+5.00%,-57.80%,+1.11,+2.87
2017,16,1,Back Judge,92,109,45.77%,62.50%,201,1801,12.56,112.56,47.84%,57.30%,13.20,114.62,-2.07%,-56.67%,-0.64,-2.06
2018,16,1,Back Judge,110,116,48.67%,68.75%,226,1871,14.13,116.94,49.03%,59.18%,13.37,113.84,-0.36%,-58.49%,+.76,+3.10
2019,16,1,Back Judge,115,119,49.15%,50.00%,234,1945,14.63,121.56,47.44%,51.69%,13.37,113.41,+1.71%,-51.19%,+1.26,+8.15
