Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29
,Pass Coverage,Pass Rush,Tackles,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
2018,29,HOU,NFL,LDE,16,16,0,2,1,50.0,1,1.0,0.5,0,56.2,-3.5,-2,3,0,32,11,0,16.0,60,61,8,11.6,"PB,AP-1,AP CPoY-2"
2019,30,HOU,NFL,LDE,8,8,0,0,0,,0,,,0,,,0,0,1,7,12,3,4.0,24,24,3,11.1,
2020,31,HOU,NFL,LDE,16,16,1,5,4,80.0,41,10.3,8.2,0,61.2,-4.0,-15,56,0,11,12,6,5.0,29,52,6,10.3,
2021,32,ARI,NFL,RDE,7,7,0,0,0,,0,,,0,,,0,0,0,7,8,2,1.0,16,16,3,15.8,
2022,33,ARI,NFL,LDE,16,16,0,1,1,100.0,0,0.0,0.0,0,79.2,-6.0,-6,6,0,6,12,7,12.5,31,39,1,2.5,AP CPoY-8
5 Yrs,,63,63,1,8,6,75.0,42,7.0,5.3,0,46.9,-4.1,-23,65,1,63,55,18,38.5,160,192,21,9.9,,,,
17 Game Avg,,17,17,0,2,2,75.0,11,7.0,5.3,0,46.9,-4.1,-6,18,0,17,15,5,10.4,43,52,6,9.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOU (3 Yrs),,40,40,1,7,5,71.4,42,8.4,6.0,0,47.0,-3.9,-17,59,1,50,35,9,25.0,113,137,17,11.0,,,,
ARI (2 Yrs),,23,23,0,1,1,100.0,0,0.0,0.0,0,79.2,-6.0,-6,6,0,13,20,9,13.5,47,55,4,6.8,,,,
