Year,Tm,Level,Pos,Voters
2011,2nd Tm,,DE,Pro Football Focus
2012,1st Tm,All-Conf.,DE,Pro Football Writers
2012,1st Tm,,DE,Associated Press
2012,1st Tm,,DE,Pro Football Writers
2012,1st Tm,,DT,Pro Football Focus
2012,1st Tm,,DE,Sporting News
2013,1st Tm,All-Conf.,DE,Pro Football Writers
2013,1st Tm,,DE,Associated Press
2013,1st Tm,,DE,Pro Football Writers
2013,1st Tm,,DT,Pro Football Focus
2013,1st Tm,,DE,Sporting News
2014,1st Tm,All-Conf.,DE,Pro Football Writers
2014,1st Tm,,DE,Associated Press
2014,1st Tm,,DE,Pro Football Writers
2014,1st Tm,,DE,Pro Football Focus
2014,1st Tm,,DE,Sporting News
2015,1st Tm,All-Conf.,DE,Pro Football Writers
2015,1st Tm,,DE,Associated Press
2015,1st Tm,,DE,Pro Football Writers
2015,1st Tm,,DE,Pro Football Focus
2015,1st Tm,,DE,Sporting News
2018,1st Tm,All-Conf.,DE,Pro Football Writers
2018,1st Tm,,DE,Associated Press
2018,2nd Tm,,DT,Associated Press
2018,1st Tm,,DE,Pro Football Writers
2018,1st Tm,,DE,Pro Football Focus
2018,1st Tm,,DE,Sporting News
