Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26
,Def Interceptions,Fumbles,,Tackles,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2011,22,HOU,NFL,LDE,16,16,0,0,0,0,4,0,0,2,2,0,5.5,56,49,7,13,19,0,10,
2012,23,HOU,NFL,LDE,16,16,0,0,0,0,16,4,0,2,7,0,20.5,81,69,12,39,43,0,19,"PB,AP-1,AP DPoY-1"
2013,24,HOU,NFL,LDE,16,16,0,0,0,0,7,4,0,2,0,0,10.5,80,65,15,22,46,0,17,"PB,AP-1,AP DPoY-6"
2014,25,HOU,NFL,LDE,16,16,1,80,1,80,10,4,0,5,59,1,20.5,78,59,19,29,51,1,23,"PB,AP-1,AP MVP-2,AP DPoY-1"
2015,26,HOU,NFL,RDE,16,16,0,0,0,0,8,3,0,1,0,0,17.5,76,57,19,29,50,0,21,"PB,AP-1,AP DPoY-1"
2016,27,HOU,NFL,DE,3,3,0,0,0,0,0,0,0,1,0,0,1.5,8,1,7,1,5,0,2,
2017,28,HOU,NFL,LDE,5,5,0,0,0,0,2,0,0,0,0,0,0.0,15,11,4,3,5,0,2,
2018,29,HOU,NFL,LDE,16,16,0,0,0,0,4,7,0,0,0,0,16.0,61,47,14,18,25,0,17,"PB,AP-1,AP CPoY-2"
2019,30,HOU,NFL,LDE,8,8,0,0,0,0,3,1,0,2,0,0,4.0,24,15,9,4,21,0,4,
2020,31,HOU,NFL,LDE,16,16,1,19,1,19,7,2,0,1,0,0,5.0,52,36,16,14,17,0,7,
2021,32,ARI,NFL,RDE,7,7,0,0,0,0,2,1,0,0,0,0,1.0,16,10,6,5,10,0,3,
2022,33,ARI,NFL,LDE,16,16,0,0,0,0,7,1,0,1,0,0,12.5,39,30,9,18,25,0,6,AP CPoY-8
12 Yrs,,151,151,2,99,2,80,70,27,0,17,68,1,114.5,586,449,137,195,317,1,131,,,,
17 Game Avg,,17,17,0,11,0,80,8,3,0,2,8,0,12.9,66,51,15,22,36,0,15,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
HOU (10 Yrs),,128,128,2,99,2,80,61,25,0,16,68,1,101.0,531,409,122,172,282,1,122,,,,
ARI (2 Yrs),,23,23,0,0,0,0,9,2,0,1,0,0,13.5,55,40,15,23,35,0,9,,,,
