Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24
,Touchdowns,PAT,FG,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,RshTD,RecTD,PRTD,KRTD,FRTD,IntTD,OthTD,AllTD,2PM,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Awards
2014,25,HOU,NFL,LDE,16,16,0,3,0,0,1,1,0,5,0,0,0,0,0,1,32,2.0,"PB,AP-1,AP MVP-2,AP DPoY-1"
,,,,,,,,,,,,,,,,,,,,,,,
2020,31,HOU,NFL,LDE,16,16,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6,0.4,
12 Yrs,,151,151,0,3,0,0,1,2,0,6,0,0,0,0,0,1,38,0.3,,,,
17 Game Avg,,17,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,
HOU (10 Yrs),,128,128,0,3,0,0,1,2,0,6,0,0,0,0,0,1,38,0.3,,,,
ARI (2 Yrs),,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
