NumYrs,Players whose career was of similar quality and shape
3,"Jevon Kearse, Aaron Donald, Reggie White*, Kris Jenkins, Tom Sestak, Mel Branch, Al Baker, Earl Faison, Don Floyd, Chandler Jones"
4,"Reggie White*, Aaron Donald, Alan Page*, Mel Branch, Tom Sestak, Earl Faison, Larry Eisenhauer, Bruce Smith*, Chandler Jones, Cortez Kennedy*"
5,"Reggie White*, Alan Page*, Aaron Donald, Julius Peppers*, Ndamukong Suh, Earl Faison, Bruce Smith*, Mark Gastineau, Haloti Ngata, Cortez Kennedy*"
6,"Reggie White*, Mark Gastineau, Alan Page*, Jared Allen*, Haloti Ngata, Bruce Smith*, Jack Youngblood*, Cortez Kennedy*, Warren Sapp*, Jason Taylor*"
7,"Mark Gastineau, Carl Eller*, Alan Page*, Bruce Smith*, Jared Allen*, Jack Youngblood*, Haloti Ngata, Howie Long*, Kevin Williams, Geno Atkins"
8,"Carl Eller*, Mark Gastineau, Warren Sapp*, Alan Page*, Reggie White*, Bruce Smith*, Jared Allen*, Jack Youngblood*, Haloti Ngata, Kevin Williams"
9,"Carl Eller*, Mark Gastineau, Bruce Smith*, Haloti Ngata, Jared Allen*, Kevin Williams, Michael Strahan*, Warren Sapp*, Richard Dent*, Jason Taylor*"
10,"Carl Eller*, Mark Gastineau, Michael Strahan*, Jason Taylor*, Haloti Ngata, Dan Hampton*, Jared Allen*, Chris Doleman*, Kevin Williams, Bruce Smith*"
11,"Carl Eller*, Mark Gastineau, Michael Strahan*, Cameron Heyward, Dan Hampton*, Haloti Ngata, Jared Allen*, Richard Dent*, Warren Sapp*, Jason Taylor*"
12,"Carl Eller*, Michael Strahan*, Haloti Ngata, Dan Hampton*, Cameron Heyward, Richard Dent*, Mark Gastineau, Jared Allen*, Calais Campbell, Kevin Williams"
Career,"Dan Hampton*, Cameron Heyward, Richard Dent*, Mark Gastineau, Haloti Ngata, Jared Allen*, Jason Taylor*, Aaron Donald, Carl Eller*, Simeon Rice"
