Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13
,Games,Off.,Def.,ST,,,,,,,,
Year,Age,Tm,Pos,No.,G,GS,Num,Pct,Num,Pct,Num,Pct
2012*+,23,HOU,LDE,99,16,16,0,0%,937,88%,66,13%
2013*+,24,HOU,LDE,99,16,16,0,0%,960,94%,87,18%
2014*+,25,HOU,LDE,99,16,16,9,1%,1049,93%,74,16%
2015*+,26,HOU,RDE,99,16,16,4,0%,1004,96%,70,15%
2016,27,HOU,DE,99,3,3,0,0%,157,86%,13,15%
2017,28,HOU,LDE,99,5,5,0,0%,217,70%,12,8%
2018*+,29,HOU,LDE,99,16,16,0,0%,963,90%,62,13%
2019,30,HOU,LDE,99,8,8,0,0%,469,89%,14,6%
2020,31,HOU,LDE,99,16,16,0,0%,1013,91%,3,1%
2021,32,ARI,RDE,99,7,7,1,0%,341,77%,24,13%
2022,33,ARI,LDE,99,16,16,0,0%,815,78%,0,0%
Career,,,,,,14,,7925,,425,,
9 yrs,HOU,,,112,112,13,,6769,,401,,
2 yrs,ARI,,,23,23,1,,1156,,24,,
