Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13
,Games,Off.,Def.,ST,,,,,,,,
Year,Age,Tm,Pos,No.,G,GS,Num,Pct,Num,Pct,Num,Pct
2017,23,PIT,ROLB,90,15,15,0,0%,751,82%,149,36%
2018*,24,PIT,LOLB,90,16,16,0,0%,902,86%,61,13%
2019*+,25,PIT,LOLB,90,16,16,0,0%,935,86%,57,13%
2020*+,26,PIT,LOLB,90,15,15,0,0%,855,88%,45,10%
2021*+,27,PIT,LOLB,90,15,15,0,0%,758,73%,32,7%
2022*,28,PIT,LOLB,90,10,10,0,0%,502,83%,32,13%
2023*+,29,PIT,LB,90,17,17,0,0%,931,83%,36,8%
2024*,30,PIT,LB,90,17,17,0,0%,938,86%,38,8%
Career,,,,,,0,,6572,,450,,
