Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Def Interceptions,Fumbles,,Tackles,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,AV,Awards
1985,24,PHI,NFL,LDE,13,12,0,0,0,0,,,0,2,0,0,13.0,100,,,,0,7,AP DRoY-2
1986,25,PHI,NFL,RDT/LDE,16,16,0,0,0,0,,1,0,0,0,0,18.0,98,,,,0,19,"PB,AP-1"
1987,26,PHI,NFL,LDE,12,12,0,0,0,0,,4,0,1,70,1,21.0,76,,,,0,15,"PB,AP-1,AP DPoY-1"
1988,27,PHI,NFL,LDE,16,16,0,0,0,0,,1,0,2,0,0,18.0,133,,,,0,19,"PB,AP-1,AP DPoY-2"
1989,28,PHI,NFL,LDE,16,16,0,0,0,0,,3,0,1,10,0,11.0,123,,,,0,18,"PB,AP-1,AP DPoY-4"
1990,29,PHI,NFL,LDE,16,16,1,33,0,33,,4,0,1,0,0,14.0,83,,,,0,17,"PB,AP-1"
1991,30,PHI,NFL,LDE,16,16,1,0,0,0,,2,0,3,8,0,15.0,100,,,,0,19,"PB,AP-1,AP DPoY-3"
1992,31,PHI,NFL,LDE,16,16,0,0,0,0,,3,0,1,37,1,14.0,81,,,,0,15,"PB,AP-2,AP DPoY-8"
1993,32,GNB,NFL,LDE,16,16,0,0,0,0,,3,0,2,10,0,13.0,79,,,,0,15,"PB,AP-2,AP DPoY-2"
1994,33,GNB,NFL,LDE,16,15,0,0,0,0,,2,0,1,0,0,8.0,49,35,14,,0,15,"PB,AP-2,AP DPoY-8"
1995,34,GNB,NFL,LDE,15,13,0,0,0,0,,2,0,0,0,0,12.0,42,31,11,,0,15,"PB,AP-1,AP DPoY-3"
1996,35,GNB,NFL,LDE,16,16,1,46,0,46,,3,2,3,2,0,8.5,39,30,9,,0,18,"PB,AP-2"
1997,36,GNB,NFL,LDE,16,16,0,0,0,0,,0,0,2,0,0,11.0,46,31,15,,0,15,"PB,AP-2"
1998,37,GNB,NFL,LDE,16,16,0,0,0,0,,4,0,0,0,0,16.0,46,33,13,,0,16,"PB,AP-1,AP DPoY-1,AP CPoY-5"
1999,Did not play - Retired,,,,,,,,,,,,,,,,,,,,,,,
2000,39,CAR,NFL,LDE,16,16,0,0,0,0,1,1,0,1,0,0,5.5,16,15,1,5,0,8,
15 Yrs,,232,228,3,79,0,46,1,33,2,20,137,2,198.0,1111,175,63,5,0,231,,,,
17 Game Avg,,17,17,0,6,0,46,,,0,1,10,0,14.5,81,,,,0,17,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
PHI (8 Yrs),,121,120,2,33,0,33,,18,0,11,125,2,124.0,794,,,,0,129,,,,
GNB (6 Yrs),,95,92,1,46,0,46,,14,2,8,12,0,68.5,301,160,62,,0,94,,,,
CAR (1 Yr),,16,16,0,0,0,0,1,1,0,1,0,0,5.5,16,15,1,5,0,8,,,,
