Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23
,Touchdowns,PAT,FG,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,RshTD,RecTD,PRTD,KRTD,FRTD,IntTD,OthTD,AllTD,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Awards
1987,26,PHI,NFL,LDE,12,12,0,0,0,0,1,0,0,1,0,0,0,0,0,6,0.5,"PB,AP-1,AP DPoY-1"
,,,,,,,,,,,,,,,,,,,,,,
1992,31,PHI,NFL,LDE,16,16,0,0,0,0,1,0,0,1,0,0,0,0,0,6,0.4,"PB,AP-2,AP DPoY-8"
15 Yrs,,232,228,0,0,0,0,2,0,0,2,0,0,0,0,0,12,0.1,,,,
17 Game Avg,,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,,,,
,,,,,,,,,,,,,,,,,,,,,,
PHI (8 Yrs),,121,120,0,0,0,0,2,0,0,2,0,0,0,0,0,12,0.1,,,,
GNB (6 Yrs),,95,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
CAR (1 Yr),,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
