NumYrs,Players whose career was of similar quality and shape
3,"J.J. Watt, Jevon Kearse, Aaron Donald, Kris Jenkins, Earl Faison, Don Floyd, Chandler Jones, Mel Branch, Larry Eisenhauer, Darrell Russell"
4,"J.J. Watt, Aaron Donald, Earl Faison, Mel Branch, Larry Eisenhauer, Ndamukong Suh, Cortez Kennedy*, Bruce Smith*, Chandler Jones, Tom Sestak"
5,"J.J. Watt, Aaron Donald, Ndamukong Suh, Earl Faison, Julius Peppers*, Bruce Smith*, Cortez Kennedy*, Haloti Ngata, Tom Sestak, Jared Allen*"
6,"Haloti Ngata, Aaron Donald, Bruce Smith*, J.J. Watt, Jared Allen*, Kevin Williams, Mark Gastineau, Warren Sapp*, Jason Taylor*, Joe Greene*"
7,"Haloti Ngata, Aaron Donald, Kevin Williams, Warren Sapp*, Jared Allen*, Mark Gastineau, Alan Page*, Jack Youngblood*, Julius Peppers*, Ndamukong Suh"
8,"Aaron Donald, Warren Sapp*, Haloti Ngata, Jared Allen*, Carl Eller*, J.J. Watt, Julius Peppers*, Alan Page*, Kevin Williams, Jack Youngblood*"
9,"Aaron Donald, Julius Peppers*, Warren Sapp*, Bruce Smith*, Alan Page*, Jack Youngblood*, Carl Eller*, Jared Allen*, Haloti Ngata, Jason Taylor*"
10,"Julius Peppers*, Bruce Smith*, Carl Eller*, Jason Taylor*, Alan Page*, Warren Sapp*, Jack Youngblood*, Aaron Donald, Jared Allen*, Michael Strahan*"
11,"Bruce Smith*, Julius Peppers*, Carl Eller*, Jason Taylor*, Michael Strahan*, Alan Page*, Jack Youngblood*, Randy White*, Warren Sapp*, Jared Allen*"
12,"Bruce Smith*, Julius Peppers*, Carl Eller*, Jason Taylor*, Michael Strahan*, Alan Page*, Randy White*, Jack Youngblood*, Warren Sapp*, Calais Campbell"
13,"Bruce Smith*, Julius Peppers*, Carl Eller*, Michael Strahan*, Jason Taylor*, Alan Page*, Jack Youngblood*, Randy White*, Calais Campbell, Warren Sapp*"
14,"Bruce Smith*, Carl Eller*, Michael Strahan*, Julius Peppers*, Alan Page*, Jason Taylor*, Jack Youngblood*, Calais Campbell, Randy White*, Chris Doleman*"
15,"Bruce Smith*, Michael Strahan*, Carl Eller*, Julius Peppers*, Jason Taylor*, Jack Youngblood*, Alan Page*, Calais Campbell, Chris Doleman*, Randy White*"
Career,"Bruce Smith*, Michael Strahan*, Julius Peppers*, Carl Eller*, Alan Page*, Jason Taylor*, Jack Youngblood*, Calais Campbell, Chris Doleman*, Randy White*"
